# ph	T_bb	err	R_bb	err	L_bb	err

59130.40	1.01e+04	9.77e+02	3.93e+14	4.78e+13	1.16e+42	5.29e+41
59130.43	1.01e+04	9.77e+02	5.97e+14	7.26e+13	2.68e+42	1.22e+42
59130.49	1.01e+04	9.77e+02	6.10e+14	7.42e+13	2.80e+42	1.28e+42
59130.49	1.01e+04	9.77e+02	6.12e+14	7.45e+13	2.82e+42	1.28e+42
59130.59	1.01e+04	9.77e+02	5.69e+14	6.92e+13	2.43e+42	1.11e+42
59130.59	1.01e+04	9.77e+02	6.16e+14	7.50e+13	2.85e+42	1.30e+42
59130.60	1.01e+04	9.77e+02	6.12e+14	7.45e+13	2.82e+42	1.28e+42
59130.60	1.01e+04	9.77e+02	6.08e+14	7.39e+13	2.77e+42	1.26e+42
59130.61	1.01e+04	9.77e+02	6.19e+14	7.53e+13	2.88e+42	1.31e+42
59130.62	1.01e+04	9.77e+02	6.20e+14	7.54e+13	2.88e+42	1.32e+42
59130.62	1.01e+04	9.77e+02	6.13e+14	7.45e+13	2.82e+42	1.29e+42
59130.63	1.01e+04	9.77e+02	6.17e+14	7.51e+13	2.86e+42	1.31e+42
59132.47	1.01e+04	9.77e+02	6.25e+14	7.60e+13	2.93e+42	1.34e+42
59132.47	1.01e+04	9.77e+02	5.78e+14	7.03e+13	2.51e+42	1.14e+42
59132.48	1.01e+04	9.77e+02	5.42e+14	6.59e+13	2.21e+42	1.01e+42
59132.49	1.01e+04	9.77e+02	5.74e+14	6.99e+13	2.48e+42	1.13e+42
59132.50	1.01e+04	9.77e+02	4.48e+14	5.45e+13	1.51e+42	6.88e+41
59132.50	1.01e+04	9.77e+02	4.93e+14	6.00e+13	1.83e+42	8.34e+41
59132.55	1.01e+04	9.77e+02	5.95e+14	7.23e+13	2.65e+42	1.21e+42
59132.56	1.01e+04	9.77e+02	3.97e+14	4.82e+13	1.18e+42	5.39e+41
59133.47	1.01e+04	9.77e+02	6.27e+14	7.62e+13	2.95e+42	1.35e+42
59133.47	1.01e+04	9.77e+02	6.20e+14	7.54e+13	2.89e+42	1.32e+42
59133.48	1.01e+04	9.77e+02	5.89e+14	7.16e+13	2.60e+42	1.19e+42
59133.49	1.01e+04	9.77e+02	6.29e+14	7.65e+13	2.97e+42	1.36e+42
59134.44	1.01e+04	9.77e+02	5.85e+14	7.11e+13	2.57e+42	1.17e+42
59134.58	1.01e+04	9.77e+02	5.34e+14	6.50e+13	2.14e+42	9.78e+41
59134.59	1.01e+04	9.77e+02	6.17e+14	7.51e+13	2.86e+42	1.30e+42
59134.59	1.01e+04	9.77e+02	7.06e+14	8.59e+13	3.75e+42	1.71e+42
59134.61	1.01e+04	9.77e+02	7.69e+14	9.35e+13	4.44e+42	2.03e+42
59136.41	1.01e+04	9.77e+02	3.74e+14	4.55e+13	1.05e+42	4.78e+41
59136.47	1.01e+04	9.77e+02	5.82e+14	7.08e+13	2.55e+42	1.16e+42
59136.48	1.01e+04	9.77e+02	5.45e+14	6.62e+13	2.23e+42	1.02e+42
59136.48	1.01e+04	9.77e+02	6.06e+14	7.37e+13	2.76e+42	1.26e+42
59136.49	1.01e+04	9.77e+02	5.86e+14	7.13e+13	2.58e+42	1.18e+42
59136.50	1.01e+04	9.77e+02	5.88e+14	7.15e+13	2.60e+42	1.19e+42
59136.51	1.01e+04	9.77e+02	3.91e+14	4.76e+13	1.15e+42	5.24e+41
59138.34	1.01e+04	9.77e+02	5.73e+14	6.97e+13	2.47e+42	1.13e+42
59138.48	1.01e+04	9.77e+02	4.47e+14	5.44e+13	1.50e+42	6.85e+41
59138.48	1.01e+04	9.77e+02	4.56e+14	5.55e+13	1.56e+42	7.12e+41
59138.49	1.01e+04	9.77e+02	3.81e+14	4.64e+13	1.09e+42	4.98e+41
59138.52	1.01e+04	9.77e+02	4.47e+14	5.43e+13	1.50e+42	6.83e+41
59140.37	1.01e+04	9.77e+02	5.80e+14	7.06e+13	2.53e+42	1.15e+42
59140.41	1.01e+04	9.77e+02	3.64e+14	4.42e+13	9.93e+41	4.53e+41
