# ph	Lobs	err	L+BB	err	

59132.50	4.81e+41	1.26e+41	1.51e+42	4.50e+41
59132.50	5.83e+41	1.52e+41	1.83e+42	5.46e+41
59132.55	8.46e+41	2.21e+41	2.66e+42	7.92e+41
59132.56	3.77e+41	9.84e+40	1.18e+42	3.53e+41
59133.47	9.41e+41	2.46e+41	2.96e+42	8.81e+41
59133.47	9.21e+41	2.41e+41	2.90e+42	8.62e+41
59133.48	8.29e+41	2.17e+41	2.61e+42	7.76e+41
59133.49	9.48e+41	2.48e+41	2.98e+42	8.87e+41
59134.44	8.18e+41	2.14e+41	2.57e+42	7.66e+41
59134.58	6.84e+41	1.79e+41	2.15e+42	6.40e+41
59134.59	9.12e+41	2.38e+41	2.87e+42	8.54e+41
59134.59	1.19e+42	3.12e+41	3.76e+42	1.12e+42
59134.61	1.42e+42	3.70e+41	4.45e+42	1.33e+42
59136.41	3.34e+41	8.74e+40	1.05e+42	3.13e+41
59136.47	8.12e+41	2.12e+41	2.55e+42	7.60e+41
59136.48	7.10e+41	1.85e+41	2.23e+42	6.64e+41
59136.48	8.79e+41	2.30e+41	2.76e+42	8.23e+41
59136.49	8.23e+41	2.15e+41	2.59e+42	7.70e+41
59136.50	8.29e+41	2.16e+41	2.61e+42	7.76e+41
59136.51	3.66e+41	9.56e+40	1.15e+42	3.43e+41
59138.34	7.87e+41	2.06e+41	2.47e+42	7.37e+41
59138.48	4.79e+41	1.25e+41	1.51e+42	4.48e+41
59138.48	4.98e+41	1.30e+41	1.57e+42	4.66e+41
59138.49	3.48e+41	9.10e+40	1.10e+42	3.26e+41
59138.52	4.77e+41	1.25e+41	1.50e+42	4.47e+41
59140.37	8.06e+41	2.11e+41	2.53e+42	7.54e+41
59140.41	3.17e+41	8.27e+40	9.96e+41	2.97e+41
59140.46	8.26e+41	2.16e+41	2.60e+42	7.73e+41
59140.46	7.56e+41	1.97e+41	2.38e+42	7.07e+41
59140.46	7.99e+41	2.09e+41	2.51e+42	7.48e+41
59140.48	7.62e+41	1.99e+41	2.40e+42	7.13e+41
59140.48	7.87e+41	2.06e+41	2.47e+42	7.37e+41
59140.48	3.60e+41	9.41e+40	1.13e+42	3.37e+41
59142.36	7.98e+41	2.08e+41	2.51e+42	7.47e+41
59142.41	3.04e+41	7.95e+40	9.57e+41	2.85e+41
59142.44	4.98e+41	1.30e+41	1.57e+42	4.66e+41
59142.44	3.89e+41	1.02e+41	1.22e+42	3.64e+41
59142.44	4.13e+41	1.08e+41	1.30e+42	3.86e+41
59142.46	4.16e+41	1.09e+41	1.31e+42	3.89e+41
59144.40	2.89e+41	7.55e+40	9.09e+41	2.71e+41
59144.40	7.45e+41	1.94e+41	2.34e+42	6.97e+41
59144.40	7.51e+41	1.96e+41	2.36e+42	7.03e+41
59144.40	7.57e+41	1.98e+41	2.38e+42	7.09e+41
59144.43	7.19e+41	1.88e+41	2.26e+42	6.73e+41
59144.43	7.91e+41	2.06e+41	2.49e+42	7.40e+41
59146.46	3.38e+41	8.83e+40	1.06e+42	3.17e+41
59146.46	7.92e+41	2.07e+41	2.49e+42	7.41e+41
59146.49	4.64e+41	1.21e+41	1.46e+42	4.35e+41
59146.52	5.66e+41	1.48e+41	1.78e+42	5.30e+41
59146.52	4.89e+41	1.28e+41	1.54e+42	4.58e+41
59146.52	4.59e+41	1.20e+41	1.44e+42	4.30e+41
59146.53	4.79e+41	1.25e+41	1.51e+42	4.48e+41
59146.53	5.06e+41	1.32e+41	1.59e+42	4.73e+41
59146.53	4.65e+41	1.21e+41	1.46e+42	4.35e+41
59146.54	5.17e+41	1.35e+41	1.63e+42	4.84e+41
59147.44	7.75e+41	2.02e+41	2.44e+42	7.25e+41
59147.44	6.71e+41	1.75e+41	2.11e+42	6.28e+41
59147.45	7.24e+41	1.89e+41	2.28e+42	6.77e+41
59147.45	8.37e+41	2.19e+41	2.63e+42	7.83e+41
59148.42	7.43e+41	1.94e+41	2.34e+42	6.96e+41
59148.43	8.10e+41	2.11e+41	2.55e+42	7.58e+41
59148.43	7.40e+41	1.93e+41	2.33e+42	6.93e+41
59148.43	9.95e+41	2.60e+41	3.13e+42	9.32e+41
59148.44	1.03e+42	2.68e+41	3.23e+42	9.60e+41
59148.45	6.72e+41	1.76e+41	2.11e+42	6.29e+41
59150.30	7.49e+41	1.96e+41	2.35e+42	7.01e+41
59150.59	7.83e+41	2.05e+41	2.46e+42	7.33e+41
59150.60	5.60e+42	1.46e+42	1.76e+43	5.24e+42
59151.32	3.20e+41	8.37e+40	1.01e+42	3.00e+41
59151.37	6.87e+41	1.79e+41	2.16e+42	6.43e+41
59152.39	7.54e+41	1.97e+41	2.37e+42	7.06e+41
59155.28	7.51e+41	1.96e+41	2.36e+42	7.03e+41
