##phase	g	err	w	err	r	err	i	err	z	err	
#
59136.48	17.84	0.30	17.84	0.30	17.84	0.30	17.84	0.30	17.84	0.30
59136.48	17.60	0.30	17.60	0.30	17.60	0.30	17.60	0.30	17.60	0.30
59136.49	17.68	0.30	17.68	0.30	17.68	0.30	17.68	0.30	17.68	0.30
59136.50	17.67	0.30	17.67	0.30	17.67	0.30	17.67	0.30	17.67	0.30
59136.51	18.55	0.30	18.55	0.30	18.55	0.30	18.55	0.30	18.55	0.30
59138.34	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30
59138.48	18.26	0.30	18.26	0.30	18.26	0.30	18.26	0.30	18.26	0.30
59138.48	18.22	0.30	18.22	0.30	18.22	0.30	18.22	0.30	18.22	0.30
59138.49	18.61	0.30	18.61	0.30	18.61	0.30	18.61	0.30	18.61	0.30
59138.52	18.27	0.30	18.27	0.30	18.27	0.30	18.27	0.30	18.27	0.30
59140.37	17.70	0.30	17.70	0.30	17.70	0.30	17.70	0.30	17.70	0.30
59140.41	18.71	0.30	18.71	0.30	18.71	0.30	18.71	0.30	18.71	0.30
59140.46	17.67	0.30	17.67	0.30	17.67	0.30	17.67	0.30	17.67	0.30
59140.46	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30
59140.46	17.71	0.30	17.71	0.30	17.71	0.30	17.71	0.30	17.71	0.30
59140.48	17.76	0.30	17.76	0.30	17.76	0.30	17.76	0.30	17.76	0.30
59140.48	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30
59140.48	18.57	0.30	18.57	0.30	18.57	0.30	18.57	0.30	18.57	0.30
59142.36	17.71	0.30	17.71	0.30	17.71	0.30	17.71	0.30	17.71	0.30
59142.41	18.76	0.30	18.76	0.30	18.76	0.30	18.76	0.30	18.76	0.30
59142.44	18.22	0.30	18.22	0.30	18.22	0.30	18.22	0.30	18.22	0.30
59142.44	18.49	0.30	18.49	0.30	18.49	0.30	18.49	0.30	18.49	0.30
59142.44	18.43	0.30	18.43	0.30	18.43	0.30	18.43	0.30	18.43	0.30
59142.46	18.42	0.30	18.42	0.30	18.42	0.30	18.42	0.30	18.42	0.30
59144.40	18.81	0.30	18.81	0.30	18.81	0.30	18.81	0.30	18.81	0.30
59144.40	17.78	0.30	17.78	0.30	17.78	0.30	17.78	0.30	17.78	0.30
59144.40	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30
59144.40	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30	17.77	0.30
59144.43	17.82	0.30	17.82	0.30	17.82	0.30	17.82	0.30	17.82	0.30
59144.43	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30
59146.46	18.64	0.30	18.64	0.30	18.64	0.30	18.64	0.30	18.64	0.30
59146.46	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30	17.72	0.30
59146.49	18.30	0.30	18.30	0.30	18.30	0.30	18.30	0.30	18.30	0.30
59146.52	18.08	0.30	18.08	0.30	18.08	0.30	18.08	0.30	18.08	0.30
59146.52	18.24	0.30	18.24	0.30	18.24	0.30	18.24	0.30	18.24	0.30
59146.52	18.31	0.30	18.31	0.30	18.31	0.30	18.31	0.30	18.31	0.30
59146.53	18.26	0.30	18.26	0.30	18.26	0.30	18.26	0.30	18.26	0.30
59146.53	18.20	0.30	18.20	0.30	18.20	0.30	18.20	0.30	18.20	0.30
59146.53	18.30	0.30	18.30	0.30	18.30	0.30	18.30	0.30	18.30	0.30
