# ph	T_bb	err	R_bb	err	L_bb	err

59011.36	7.95e+03	6.15e+02	1.89e+15	2.66e+14	1.02e+43	4.25e+42
59011.36	7.95e+03	6.15e+02	2.30e+15	3.23e+14	1.50e+43	6.28e+42
59011.36	7.95e+03	6.15e+02	2.30e+15	3.23e+14	1.50e+43	6.28e+42
59011.36	7.95e+03	6.15e+02	2.00e+15	2.81e+14	1.14e+43	4.75e+42
59011.36	7.95e+03	6.15e+02	1.97e+15	2.76e+14	1.10e+43	4.59e+42
59011.36	7.95e+03	6.15e+02	1.87e+15	2.64e+14	1.00e+43	4.18e+42
59012.21	7.95e+03	6.15e+02	1.01e+15	1.43e+14	2.93e+42	1.22e+42
59012.24	7.95e+03	6.15e+02	1.21e+15	1.71e+14	4.19e+42	1.75e+42
59014.42	7.95e+03	6.15e+02	8.56e+14	1.20e+14	2.08e+42	8.71e+41
59014.42	7.95e+03	6.15e+02	1.16e+15	1.63e+14	3.82e+42	1.60e+42
59015.08	7.95e+03	6.15e+02	1.94e+15	2.73e+14	1.07e+43	4.49e+42
59015.08	7.95e+03	6.15e+02	2.14e+15	3.01e+14	1.30e+43	5.45e+42
59015.08	7.95e+03	6.15e+02	2.14e+15	3.01e+14	1.30e+43	5.45e+42
59015.09	7.95e+03	6.15e+02	2.13e+15	3.00e+14	1.29e+43	5.40e+42
59015.09	7.95e+03	6.15e+02	1.89e+15	2.65e+14	1.01e+43	4.24e+42
59016.21	7.95e+03	6.15e+02	9.83e+14	1.38e+14	2.75e+42	1.15e+42
59017.29	7.95e+03	6.15e+02	8.51e+14	1.20e+14	2.06e+42	8.62e+41
59019.22	7.95e+03	6.15e+02	1.12e+15	1.58e+14	3.59e+42	1.50e+42
59019.26	7.95e+03	6.15e+02	9.68e+14	1.36e+14	2.66e+42	1.11e+42
59019.46	7.95e+03	6.15e+02	1.89e+15	2.66e+14	1.02e+43	4.26e+42
59019.46	7.95e+03	6.15e+02	2.13e+15	2.99e+14	1.29e+43	5.38e+42
59019.46	7.95e+03	6.15e+02	2.13e+15	2.99e+14	1.29e+43	5.38e+42
59019.46	7.95e+03	6.15e+02	2.00e+15	2.81e+14	1.14e+43	4.76e+42
59019.46	7.95e+03	6.15e+02	1.99e+15	2.79e+14	1.12e+43	4.70e+42
59019.46	7.95e+03	6.15e+02	1.99e+15	2.79e+14	1.12e+43	4.70e+42
59021.29	7.95e+03	6.15e+02	8.46e+14	1.19e+14	2.04e+42	8.52e+41
59021.29	7.95e+03	6.15e+02	1.11e+15	1.55e+14	3.48e+42	1.45e+42
59022.23	7.95e+03	6.15e+02	1.13e+15	1.59e+14	3.63e+42	1.52e+42
59022.29	7.95e+03	6.15e+02	8.38e+14	1.18e+14	2.00e+42	8.36e+41
59023.64	7.95e+03	6.15e+02	1.98e+15	2.78e+14	1.11e+43	4.65e+42
59025.21	7.95e+03	6.15e+02	1.08e+15	1.52e+14	3.33e+42	1.39e+42
59025.24	7.95e+03	6.15e+02	9.00e+14	1.26e+14	2.30e+42	9.63e+41
59026.29	7.95e+03	6.15e+02	8.16e+14	1.15e+14	1.90e+42	7.93e+41
59027.56	7.95e+03	6.15e+02	1.95e+15	2.74e+14	1.08e+43	4.52e+42
59027.56	7.95e+03	6.15e+02	1.74e+15	2.44e+14	8.58e+42	3.59e+42
59027.56	7.95e+03	6.15e+02	2.47e+15	3.47e+14	1.74e+43	7.26e+42
59027.56	7.95e+03	6.15e+02	1.99e+15	2.80e+14	1.13e+43	4.72e+42
59027.57	7.95e+03	6.15e+02	1.86e+15	2.62e+14	9.87e+42	4.13e+42
59027.57	7.95e+03	6.15e+02	1.91e+15	2.69e+14	1.04e+43	4.35e+42
59028.22	7.95e+03	6.15e+02	1.02e+15	1.43e+14	2.95e+42	1.23e+42
59028.28	7.95e+03	6.15e+02	6.66e+14	9.36e+13	1.26e+42	5.28e+41
59028.28	7.95e+03	6.15e+02	1.02e+15	1.43e+14	2.96e+42	1.24e+42
59029.21	7.95e+03	6.15e+02	9.03e+14	1.27e+14	2.32e+42	9.70e+41
59030.28	7.95e+03	6.15e+02	1.03e+15	1.44e+14	3.00e+42	1.25e+42
59030.29	7.95e+03	6.15e+02	9.81e+14	1.38e+14	2.74e+42	1.15e+42
59031.22	7.95e+03	6.15e+02	1.02e+15	1.44e+14	2.97e+42	1.24e+42
59033.28	7.95e+03	6.15e+02	1.05e+15	1.47e+14	3.11e+42	1.30e+42
