# ph	Lobs	err	L+BB	err	

59023.64	7.30e+42	3.79e+42	1.16e+43	4.04e+42
59025.21	2.18e+42	1.14e+42	3.47e+42	1.21e+42
59025.24	1.51e+42	7.85e+41	2.40e+42	8.36e+41
59026.29	1.24e+42	6.47e+41	1.98e+42	6.88e+41
59027.56	7.10e+42	3.69e+42	1.13e+43	3.92e+42
59027.56	5.63e+42	2.93e+42	8.94e+42	3.11e+42
59027.56	1.14e+43	5.92e+42	1.81e+43	6.31e+42
59027.56	7.41e+42	3.85e+42	1.18e+43	4.10e+42
59027.57	6.48e+42	3.37e+42	1.03e+43	3.58e+42
59027.57	6.83e+42	3.55e+42	1.08e+43	3.78e+42
59028.22	1.94e+42	1.01e+42	3.08e+42	1.07e+42
59028.28	8.28e+41	4.30e+41	1.32e+42	4.58e+41
59028.28	1.95e+42	1.01e+42	3.09e+42	1.08e+42
59029.21	1.52e+42	7.91e+41	2.42e+42	8.42e+41
59030.28	1.97e+42	1.02e+42	3.12e+42	1.09e+42
59030.29	1.80e+42	9.35e+41	2.86e+42	9.95e+41
59031.22	1.95e+42	1.01e+42	3.10e+42	1.08e+42
59033.28	2.04e+42	1.06e+42	3.25e+42	1.13e+42
59033.28	2.05e+42	1.06e+42	3.25e+42	1.13e+42
59034.60	7.59e+42	3.94e+42	1.21e+43	4.20e+42
59034.61	5.90e+42	3.06e+42	9.37e+42	3.26e+42
59034.61	8.96e+42	4.65e+42	1.42e+43	4.95e+42
59034.61	7.34e+42	3.81e+42	1.17e+43	4.06e+42
59034.61	7.03e+42	3.65e+42	1.12e+43	3.89e+42
59034.61	6.79e+42	3.53e+42	1.08e+43	3.75e+42
59036.26	1.84e+42	9.55e+41	2.92e+42	1.02e+42
59037.20	1.53e+42	7.95e+41	2.43e+42	8.47e+41
59037.22	1.21e+42	6.28e+41	1.92e+42	6.68e+41
59037.27	1.60e+42	8.30e+41	2.54e+42	8.83e+41
59037.27	1.60e+42	8.34e+41	2.55e+42	8.87e+41
59038.20	1.67e+42	8.67e+41	2.65e+42	9.23e+41
59038.35	1.63e+42	8.46e+41	2.59e+42	9.01e+41
59039.23	1.64e+42	8.51e+41	2.60e+42	9.06e+41
59040.27	1.32e+42	6.87e+41	2.10e+42	7.31e+41
59040.27	1.34e+42	6.96e+41	2.13e+42	7.41e+41
59042.23	1.60e+42	8.29e+41	2.53e+42	8.83e+41
59042.29	1.38e+42	7.19e+41	2.20e+42	7.65e+41
59042.29	6.32e+41	3.28e+41	1.00e+42	3.49e+41
59043.24	1.52e+42	7.91e+41	2.42e+42	8.42e+41
59044.22	1.54e+42	8.01e+41	2.45e+42	8.53e+41
59045.20	1.33e+42	6.88e+41	2.10e+42	7.33e+41
59045.24	9.58e+41	4.98e+41	1.52e+42	5.30e+41
59046.20	1.29e+42	6.69e+41	2.05e+42	7.12e+41
59047.22	1.23e+42	6.41e+41	1.96e+42	6.82e+41
59047.27	1.12e+42	5.82e+41	1.78e+42	6.19e+41
59047.27	6.86e+41	3.57e+41	1.09e+42	3.80e+41
59048.21	1.35e+42	6.99e+41	2.14e+42	7.44e+41
59048.27	9.42e+41	4.89e+41	1.50e+42	5.21e+41
59051.20	1.25e+42	6.51e+41	1.99e+42	6.93e+41
59051.28	4.49e+41	2.33e+41	7.14e+41	2.49e+41
59051.28	9.63e+41	5.00e+41	1.53e+42	5.32e+41
59053.27	2.35e+41	1.22e+41	3.74e+41	1.30e+41
59053.28	8.97e+41	4.66e+41	1.42e+42	4.96e+41
59064.29	7.82e+40	4.06e+40	1.24e+41	4.32e+40
59072.27	1.29e+41	6.73e+40	2.06e+41	7.16e+40
59074.27	7.39e+40	3.84e+40	1.17e+41	4.09e+40
59078.26	8.16e+40	4.24e+40	1.30e+41	4.51e+40
59081.25	2.33e+41	1.21e+41	3.70e+41	1.29e+41
59093.25	1.47e+41	7.65e+40	2.34e+41	8.14e+40
59095.25	2.18e+41	1.13e+41	3.46e+41	1.21e+41
59095.25	2.30e+41	1.20e+41	3.66e+41	1.27e+41
59097.24	4.38e+41	2.28e+41	6.96e+41	2.42e+41
59097.24	2.81e+41	1.46e+41	4.46e+41	1.55e+41
59217.64	1.09e+40	5.68e+39	1.74e+40	6.05e+39
59220.66	5.32e+40	2.77e+40	8.46e+40	2.94e+40
59242.64	1.25e+42	6.50e+41	1.99e+42	6.91e+41
59242.64	5.16e+41	2.68e+41	8.19e+41	2.85e+41
59245.66	1.25e+41	6.48e+40	1.98e+41	6.90e+40
59246.64	5.41e+40	2.81e+40	8.60e+40	2.99e+40
59257.57	6.69e+40	3.48e+40	1.06e+41	3.70e+40
