##phase	U	err	B	err	g	err	V	err	r	err	i	err	z	err	
#
59003.39	18.76	1.01	18.76	1.01	18.76	1.01	18.76	1.01	18.76	1.01	18.76	1.01	18.76	1.01
59004.20	18.82	1.01	18.82	1.01	18.82	1.01	18.82	1.01	18.82	1.01	18.82	1.01	18.82	1.01
59004.27	18.42	1.01	18.42	1.01	18.42	1.01	18.42	1.01	18.42	1.01	18.42	1.01	18.42	1.01
59007.25	17.70	1.01	17.70	1.01	17.70	1.01	17.70	1.01	17.70	1.01	17.70	1.01	17.70	1.01
59007.25	17.80	1.01	17.80	1.01	17.80	1.01	17.80	1.01	17.80	1.01	17.80	1.01	17.80	1.01
59007.25	17.12	1.01	17.12	1.01	17.12	1.01	17.12	1.01	17.12	1.01	17.12	1.01	17.12	1.01
59007.25	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01	17.56	1.01
59007.26	17.72	1.01	17.72	1.01	17.72	1.01	17.72	1.01	17.72	1.01	17.72	1.01	17.72	1.01
59007.26	17.72	1.01	17.72	1.01	17.72	1.01	17.72	1.01	17.72	1.01	17.72	1.01	17.72	1.01
59009.21	18.58	1.01	18.58	1.01	18.58	1.01	18.58	1.01	18.58	1.01	18.58	1.01	18.58	1.01
59009.24	19.00	1.01	19.00	1.01	19.00	1.01	19.00	1.01	19.00	1.01	19.00	1.01	19.00	1.01
59011.36	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01
59011.36	17.29	1.01	17.29	1.01	17.29	1.01	17.29	1.01	17.29	1.01	17.29	1.01	17.29	1.01
59011.36	17.29	1.01	17.29	1.01	17.29	1.01	17.29	1.01	17.29	1.01	17.29	1.01	17.29	1.01
59011.36	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01
59011.36	17.62	1.01	17.62	1.01	17.62	1.01	17.62	1.01	17.62	1.01	17.62	1.01	17.62	1.01
59011.36	17.73	1.01	17.73	1.01	17.73	1.01	17.73	1.01	17.73	1.01	17.73	1.01	17.73	1.01
59012.21	19.06	1.01	19.06	1.01	19.06	1.01	19.06	1.01	19.06	1.01	19.06	1.01	19.06	1.01
59012.24	18.67	1.01	18.67	1.01	18.67	1.01	18.67	1.01	18.67	1.01	18.67	1.01	18.67	1.01
59014.42	19.43	1.01	19.43	1.01	19.43	1.01	19.43	1.01	19.43	1.01	19.43	1.01	19.43	1.01
59014.42	18.77	1.01	18.77	1.01	18.77	1.01	18.77	1.01	18.77	1.01	18.77	1.01	18.77	1.01
59015.08	17.65	1.01	17.65	1.01	17.65	1.01	17.65	1.01	17.65	1.01	17.65	1.01	17.65	1.01
59015.08	17.44	1.01	17.44	1.01	17.44	1.01	17.44	1.01	17.44	1.01	17.44	1.01	17.44	1.01
59015.08	17.44	1.01	17.44	1.01	17.44	1.01	17.44	1.01	17.44	1.01	17.44	1.01	17.44	1.01
59015.09	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01
59015.09	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01
59016.21	19.13	1.01	19.13	1.01	19.13	1.01	19.13	1.01	19.13	1.01	19.13	1.01	19.13	1.01
59017.29	19.44	1.01	19.44	1.01	19.44	1.01	19.44	1.01	19.44	1.01	19.44	1.01	19.44	1.01
59019.22	18.84	1.01	18.84	1.01	18.84	1.01	18.84	1.01	18.84	1.01	18.84	1.01	18.84	1.01
59019.26	19.16	1.01	19.16	1.01	19.16	1.01	19.16	1.01	19.16	1.01	19.16	1.01	19.16	1.01
59019.46	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01	17.71	1.01
59019.46	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01
59019.46	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01	17.45	1.01
59019.46	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01
59019.46	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01
59019.46	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01	17.60	1.01
59021.29	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01	19.45	1.01
59021.29	18.87	1.01	18.87	1.01	18.87	1.01	18.87	1.01	18.87	1.01	18.87	1.01	18.87	1.01
59022.23	18.83	1.01	18.83	1.01	18.83	1.01	18.83	1.01	18.83	1.01	18.83	1.01	18.83	1.01
59022.29	19.47	1.01	19.47	1.01	19.47	1.01	19.47	1.01	19.47	1.01	19.47	1.01	19.47	1.01
59023.64	17.61	1.01	17.61	1.01	17.61	1.01	17.61	1.01	17.61	1.01	17.61	1.01	17.61	1.01
59025.21	18.92	1.01	18.92	1.01	18.92	1.01	18.92	1.01	18.92	1.01	18.92	1.01	18.92	1.01
59025.24	19.32	1.01	19.32	1.01	19.32	1.01	19.32	1.01	19.32	1.01	19.32	1.01	19.32	1.01
59026.29	19.53	1.01	19.53	1.01	19.53	1.01	19.53	1.01	19.53	1.01	19.53	1.01	19.53	1.01
59027.56	17.64	1.01	17.64	1.01	17.64	1.01	17.64	1.01	17.64	1.01	17.64	1.01	17.64	1.01
59027.56	17.89	1.01	17.89	1.01	17.89	1.01	17.89	1.01	17.89	1.01	17.89	1.01	17.89	1.01
59027.56	17.13	1.01	17.13	1.01	17.13	1.01	17.13	1.01	17.13	1.01	17.13	1.01	17.13	1.01
59027.56	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01	17.59	1.01
59027.57	17.74	1.01	17.74	1.01	17.74	1.01	17.74	1.01	17.74	1.01	17.74	1.01	17.74	1.01
