# ph	T_bb	err	R_bb	err	L_bb	err

59036.26	3.97e+03	2.82e+02	2.19e+15	7.01e+14	8.47e+41	5.93e+41
59037.26	4.02e+03	2.90e+02	1.99e+15	6.40e+14	7.32e+41	5.17e+41
59038.77	4.07e+03	2.97e+02	1.77e+15	5.70e+14	6.15e+41	4.34e+41
59039.30	4.09e+03	2.96e+02	1.71e+15	5.41e+14	5.80e+41	4.04e+41
59041.28	4.17e+03	2.97e+02	1.45e+15	4.39e+14	4.53e+41	3.04e+41
59048.28	4.02e+03	3.32e+02	1.32e+15	4.44e+14	3.24e+41	2.43e+41
59050.75	4.07e+03	3.36e+02	1.26e+15	4.24e+14	3.09e+41	2.32e+41
59060.37	4.33e+03	3.04e+02	1.01e+15	2.86e+14	2.55e+41	1.62e+41
59163.49	5.50e+03	3.52e+02	3.37e+14	7.58e+13	7.40e+40	3.83e+40
59169.48	5.56e+03	3.72e+02	3.15e+14	7.35e+13	6.74e+40	3.62e+40
59176.56	5.64e+03	3.64e+02	2.94e+14	6.54e+13	6.24e+40	3.21e+40
59180.51	5.67e+03	3.60e+02	2.88e+14	6.28e+13	6.11e+40	3.09e+40
59180.56	5.67e+03	3.60e+02	2.88e+14	6.28e+13	6.11e+40	3.09e+40
59184.51	5.73e+03	3.54e+02	2.76e+14	5.84e+13	5.84e+40	2.86e+40
59188.51	5.77e+03	3.52e+02	2.66e+14	5.54e+13	5.60e+40	2.71e+40
59194.52	5.89e+03	3.54e+02	2.41e+14	4.88e+13	5.02e+40	2.36e+40
59196.58	5.87e+03	3.62e+02	2.40e+14	4.97e+13	4.86e+40	2.34e+40
59197.58	5.86e+03	3.57e+02	2.39e+14	4.90e+13	4.81e+40	2.29e+40
59198.49	5.86e+03	3.49e+02	2.38e+14	4.75e+13	4.75e+40	2.21e+40
59199.54	5.84e+03	3.50e+02	2.39e+14	4.80e+13	4.73e+40	2.21e+40
59200.53	5.84e+03	3.42e+02	2.38e+14	4.66e+13	4.67e+40	2.13e+40
59201.55	5.84e+03	3.34e+02	2.36e+14	4.49e+13	4.59e+40	2.04e+40
59203.50	5.82e+03	3.27e+02	2.34e+14	4.38e+13	4.50e+40	1.96e+40
59203.53	5.82e+03	3.26e+02	2.34e+14	4.38e+13	4.49e+40	1.96e+40
59209.30	5.85e+03	3.08e+02	2.26e+14	3.95e+13	4.28e+40	1.74e+40
59211.66	5.91e+03	3.03e+02	2.19e+14	3.70e+13	4.14e+40	1.64e+40
59215.27	6.06e+03	3.18e+02	1.98e+14	3.40e+13	3.75e+40	1.51e+40
59216.51	6.12e+03	3.22e+02	1.90e+14	3.26e+13	3.61e+40	1.46e+40
59216.65	6.13e+03	3.24e+02	1.90e+14	3.27e+13	3.60e+40	1.46e+40
59221.26	6.16e+03	3.68e+02	1.81e+14	3.52e+13	3.36e+40	1.53e+40
59221.44	6.17e+03	3.61e+02	1.80e+14	3.42e+13	3.33e+40	1.49e+40
59223.47	6.21e+03	3.67e+02	1.75e+14	3.34e+13	3.23e+40	1.45e+40
59227.25	6.29e+03	3.82e+02	1.68e+14	3.32e+13	3.16e+40	1.46e+40
59227.38	6.31e+03	3.76e+02	1.67e+14	3.20e+13	3.14e+40	1.42e+40
59229.43	6.59e+03	3.76e+02	1.55e+14	2.80e+13	3.22e+40	1.38e+40
59229.52	6.59e+03	3.80e+02	1.55e+14	2.83e+13	3.24e+40	1.40e+40
59231.48	6.89e+03	3.70e+02	1.42e+14	2.34e+13	3.21e+40	1.27e+40
59231.60	6.91e+03	3.71e+02	1.41e+14	2.32e+13	3.20e+40	1.26e+40
59237.31	7.53e+03	4.11e+02	1.22e+14	1.96e+13	3.44e+40	1.33e+40
59243.57	7.44e+03	4.03e+02	1.20e+14	1.92e+13	3.13e+40	1.21e+40
59245.43	6.61e+03	4.34e+02	1.37e+14	2.82e+13	2.55e+40	1.24e+40
59249.41	6.70e+03	4.50e+02	1.31e+14	2.74e+13	2.46e+40	1.22e+40
59250.27	6.73e+03	4.53e+02	1.29e+14	2.69e+13	2.42e+40	1.20e+40
59251.46	6.75e+03	4.57e+02	1.27e+14	2.67e+13	2.40e+40	1.20e+40
59253.49	6.79e+03	4.67e+02	1.25e+14	2.65e+13	2.36e+40	1.19e+40
59255.04	6.83e+03	4.75e+02	1.22e+14	2.61e+13	2.31e+40	1.18e+40
59255.42	6.85e+03	4.77e+02	1.21e+14	2.56e+13	2.29e+40	1.16e+40
59261.38	7.02e+03	5.08e+02	1.11e+14	2.41e+13	2.13e+40	1.11e+40
59262.36	7.05e+03	5.13e+02	1.09e+14	2.37e+13	2.09e+40	1.10e+40
59262.57	7.06e+03	5.14e+02	1.09e+14	2.37e+13	2.09e+40	1.09e+40
59264.37	7.09e+03	5.23e+02	1.07e+14	2.37e+13	2.07e+40	1.10e+40
59266.20	7.13e+03	5.34e+02	1.06e+14	2.35e+13	2.05e+40	1.10e+40
59267.57	7.23e+03	5.27e+02	9.96e+13	2.12e+13	1.94e+40	9.99e+39
59268.35	7.24e+03	5.36e+02	9.92e+13	2.14e+13	1.93e+40	1.01e+40
59269.53	7.43e+03	5.42e+02	9.39e+13	1.97e+13	1.92e+40	9.80e+39
59277.54	7.81e+03	5.41e+02	8.18e+13	1.66e+13	1.77e+40	8.70e+39
59283.14	7.89e+03	5.48e+02	7.77e+13	1.30e+13	1.67e+40	7.26e+39
59285.24	7.71e+03	6.10e+02	8.63e+13	1.43e+13	1.87e+40	8.58e+39
59288.07	7.59e+03	5.98e+02	8.31e+13	1.35e+13	1.64e+40	7.42e+39
59305.48	6.87e+03	4.36e+02	8.05e+13	9.97e+12	1.03e+40	3.66e+39
59316.44	7.56e+03	3.33e+02	6.86e+13	5.27e+12	1.10e+40	2.56e+39
59332.29	7.21e+03	2.88e+02	6.67e+13	4.59e+12	8.58e+39	1.81e+39
59333.31	6.83e+03	2.96e+02	7.11e+13	5.54e+12	7.84e+39	1.83e+39
59335.40	6.40e+03	4.35e+02	7.69e+13	9.85e+12	7.08e+39	2.64e+39
59346.29	7.20e+03	5.74e+02	5.47e+13	7.42e+12	5.73e+39	2.40e+39
59349.31	6.76e+03	8.89e+02	5.43e+13	1.27e+13	4.39e+39	3.09e+39
59360.33	8.25e+03	8.57e+02	4.19e+13	6.61e+12	5.79e+39	3.02e+39
59363.33	8.00e+03	3.62e+02	3.88e+13	2.72e+12	4.40e+39	1.01e+39
59365.34	8.44e+03	5.67e+02	3.59e+13	3.61e+12	4.67e+39	1.57e+39
59371.32	7.95e+03	1.07e+03	3.99e+13	8.36e+12	4.53e+39	3.09e+39
59377.29	7.27e+03	4.80e+02	4.33e+13	4.77e+12	3.74e+39	1.28e+39
59387.28	8.72e+03	1.34e+03	3.88e+13	8.68e+12	6.20e+39	4.72e+39
59388.29	7.58e+03	1.01e+03	4.16e+13	8.92e+12	4.08e+39	2.79e+39
59389.29	7.92e+03	5.91e+02	4.08e+13	4.72e+12	4.66e+39	1.76e+39
59391.28	7.85e+03	4.70e+02	4.05e+13	3.78e+12	4.43e+39	1.35e+39
59393.28	8.64e+03	8.23e+02	3.09e+13	4.27e+12	3.80e+39	1.79e+39
59394.29	8.76e+03	1.10e+03	2.76e+13	4.98e+12	3.20e+39	1.98e+39
59401.29	6.72e+03	4.75e+02	4.33e+13	5.36e+12	2.73e+39	1.02e+39
59405.30	6.70e+03	4.43e+02	5.36e+13	6.29e+12	4.11e+39	1.46e+39
