59455.595 22.406 2.524 PAN-STARRS/PS1.z AB
59455.598 25.132 34.93 PAN-STARRS/PS1.g AB
59458.578  -2.685 PAN-STARRS/PS1.g AB
59458.581 25.006 12.737 PAN-STARRS/PS1.i AB
59464.393 24.16 8.499 PAN-STARRS/PS1.g AB
59464.396  -1.136 PAN-STARRS/PS1.i AB
59467.562 23.522 2.368 PAN-STARRS/PS1.r AB
59467.565 22.644 0.933 PAN-STARRS/PS1.g AB
59470.392  -4.332 PAN-STARRS/PS1.i AB
59470.394  -2.173 PAN-STARRS/PS1.g AB
59475.514  -3.287 PAN-STARRS/PS1.r AB
59475.517  -5.997 PAN-STARRS/PS1.i AB
59485.514  -11.254 PAN-STARRS/PS1.z AB
59485.517 23.9 9.938 PAN-STARRS/PS1.g AB
59488.341  -1.93 PAN-STARRS/PS1.i AB
59488.344  -352.219 PAN-STARRS/PS1.g AB
59491.495 22.947 1.292 PAN-STARRS/PS1.r AB
59491.497 29.675 412.943 PAN-STARRS/PS1.g AB
59494.493  -0.64 PAN-STARRS/PS1.i AB
59500.442  -2.153 PAN-STARRS/PS1.g AB
59500.445  -1.121 PAN-STARRS/PS1.i AB
59510.437  -3.416 PAN-STARRS/PS1.z AB
59510.44 21.871 1.69 PAN-STARRS/PS1.r AB
59514.412 23.836 2.837 PAN-STARRS/PS1.r AB
59514.414  -5.695 PAN-STARRS/PS1.i AB
59519.275  -2.535 PAN-STARRS/PS1.r AB
59519.278 22.955 0.806 PAN-STARRS/PS1.g AB
59525.375  -0.808 PAN-STARRS/PS1.i AB
59525.378  -2.652 PAN-STARRS/PS1.g AB
59530.366  -72.654 PAN-STARRS/PS1.g AB
59530.369 24.74 7.851 PAN-STARRS/PS1.i AB
59537.324 22.861 3.348 PAN-STARRS/PS1.z AB
59537.327  -7.298 PAN-STARRS/PS1.r AB
59538.238 24.174 4.635 PAN-STARRS/PS1.r AB
59538.241  -2.968 PAN-STARRS/PS1.i AB
59541.324 23.677 5.128 PAN-STARRS/PS1.z AB
59541.326  -1.033 PAN-STARRS/PS1.r AB
59543.357  -14.169 PAN-STARRS/PS1.r AB
59543.36  -0.621 PAN-STARRS/PS1.i AB
59545.328  -1.41 PAN-STARRS/PS1.g AB
59545.331 22.41 2.715 PAN-STARRS/PS1.z AB
59803.471  -8.707 PAN-STARRS/PS1.z AB
59803.473  -1.416 PAN-STARRS/PS1.r AB
59810.444  -2.994 PAN-STARRS/PS1.g AB
59810.447 22.531 3.82 PAN-STARRS/PS1.y AB
59825.443 26.505 21.315 PAN-STARRS/PS1.i AB
59825.446 23.531 1.743 PAN-STARRS/PS1.g AB
59830.422  -1.148 PAN-STARRS/PS1.r AB
59830.425 23.022 4.356 PAN-STARRS/PS1.i AB
59837.413  -2.401 PAN-STARRS/PS1.r AB
59841.373  -4.125 PAN-STARRS/PS1.y AB
59841.376 23.023 2.25 PAN-STARRS/PS1.g AB
59842.374  -2.468 PAN-STARRS/PS1.g AB
59842.376 25.625 12.496 PAN-STARRS/PS1.r AB
59845.344  -2.366 PAN-STARRS/PS1.i AB
59845.347  -0.978 PAN-STARRS/PS1.g AB
59850.389 24.341 4.257 PAN-STARRS/PS1.g AB
59850.392  -2.203 PAN-STARRS/PS1.r AB
59854.481  -5.434 PAN-STARRS/PS1.i AB
59854.484 23.909 2.646 PAN-STARRS/PS1.g AB
59867.48 22.424 1.723 PAN-STARRS/PS1.r AB
59867.483  -11.549 PAN-STARRS/PS1.z AB
59876.395 24.073 4.756 PAN-STARRS/PS1.r AB
59876.403 23.573 2.518 PAN-STARRS/PS1.g AB
59881.278 23.323 2.829 PAN-STARRS/PS1.r AB
59881.28 23.081 2.405 PAN-STARRS/PS1.g AB
59884.278  -5.21 PAN-STARRS/PS1.g AB
59884.281  -13.003 PAN-STARRS/PS1.i AB
59900.221  -2.025 PAN-STARRS/PS1.i AB
59900.224  -1.48 PAN-STARRS/PS1.g AB
59908.213  -6.314 PAN-STARRS/PS1.g AB
59908.216 22.357 1.823 PAN-STARRS/PS1.r AB
59113.462 19.129 0.161 Misc/Atlas.orange AB
59112.5 19.19 0.03 PAN-STARRS/PS1.w AB
59112.551 18.97 0.09 PAN-STARRS/PS1.g AB
59143.288 19.725 0.068 PAN-STARRS/PS1.w AB
59143.313 19.792 0.106 PAN-STARRS/PS1.w AB
59101.425 20.774 0.567 Misc/Atlas.orange AB
59101.448 21.417 1.192 Misc/Atlas.orange AB
59101.451  -1.207 Misc/Atlas.orange AB
59101.454 21.117 0.758 Misc/Atlas.orange AB
59103.501 22.608 3.364 Misc/Atlas.orange AB
59103.504 20.176 1.168 Misc/Atlas.orange AB
59103.51  -2.589 Misc/Atlas.orange AB
59103.52 22.365 2.341 Misc/Atlas.orange AB
59105.478 22.807 2.758 Misc/Atlas.orange AB
59105.481 22.63 2.488 Misc/Atlas.orange AB
59105.512  -0.445 Misc/Atlas.orange AB
59105.538 20.71 0.44 Misc/Atlas.orange AB
59107.484  -0.907 Misc/Atlas.cyan AB
59107.487 20.993 0.67 Misc/Atlas.cyan AB
59107.492 22.033 1.63 Misc/Atlas.cyan AB
59107.502 20.947 0.52 Misc/Atlas.cyan AB
59109.402 19.321 0.217 Misc/Atlas.orange AB
59109.405 19.721 0.283 Misc/Atlas.orange AB
59109.409 19.224 0.164 Misc/Atlas.orange AB
59109.432 19.737 0.178 Misc/Atlas.orange AB
59111.398 19.131 0.312 Misc/Atlas.cyan AB
59111.401 19.226 0.302 Misc/Atlas.cyan AB
59111.404 20.593 1.65 Misc/Atlas.cyan AB
59111.442 18.821 0.135 Misc/Atlas.cyan AB
59113.462 19.203 0.14 Misc/Atlas.orange AB
59113.467 18.805 0.106 Misc/Atlas.orange AB
59113.472 19.205 0.139 Misc/Atlas.orange AB
59113.483 19.221 0.138 Misc/Atlas.orange AB
59115.496 19.182 0.138 Misc/Atlas.cyan AB
59115.499 19.15 0.125 Misc/Atlas.cyan AB
59115.506 18.851 0.093 Misc/Atlas.cyan AB
59115.522 18.795 0.115 Misc/Atlas.cyan AB
59117.415 19.159 0.149 Misc/Atlas.orange AB
59117.438 19.118 0.141 Misc/Atlas.orange AB
59117.467 18.974 0.106 Misc/Atlas.orange AB
59117.472 19.07 0.125 Misc/Atlas.orange AB
59118.354 19.207 0.204 Misc/Atlas.orange AB
59118.363 19.065 0.154 Misc/Atlas.orange AB
59118.37 19.141 0.159 Misc/Atlas.orange AB
59118.373 19.209 0.191 Misc/Atlas.orange AB
59119.37 18.98 0.167 Misc/Atlas.orange AB
59119.377 18.954 0.233 Misc/Atlas.orange AB
59119.378 19.044 0.225 Misc/Atlas.orange AB
59119.409 19.218 0.215 Misc/Atlas.orange AB
59121.431 19.365 0.198 Misc/Atlas.orange AB
59121.435 19.306 0.232 Misc/Atlas.orange AB
59121.467 18.93 0.127 Misc/Atlas.orange AB
59121.472 19.328 0.301 Misc/Atlas.orange AB
59127.438 18.586 0.346 Misc/Atlas.orange AB
59127.442  -1.49 Misc/Atlas.orange AB
59127.447 18.874 0.368 Misc/Atlas.orange AB
59127.458 18.742 0.264 Misc/Atlas.orange AB
59129.459 19.095 0.149 Misc/Atlas.orange AB
59129.466 19.053 0.109 Misc/Atlas.orange AB
59129.469 19.106 0.135 Misc/Atlas.orange AB
59129.488 19.128 0.192 Misc/Atlas.orange AB
59131.462 19.175 0.177 Misc/Atlas.orange AB
59131.465 19.362 0.19 Misc/Atlas.orange AB
59131.485 19.57 0.239 Misc/Atlas.orange AB
59131.501 19.235 0.171 Misc/Atlas.orange AB
59133.405 19.001 0.115 Misc/Atlas.orange AB
59133.408 19.346 0.153 Misc/Atlas.orange AB
59133.414 19.099 0.1 Misc/Atlas.orange AB
59133.431 19.604 0.175 Misc/Atlas.orange AB
59135.425 19.68 0.204 Misc/Atlas.cyan AB
59135.429 19.828 0.304 Misc/Atlas.cyan AB
59135.434 20.279 0.363 Misc/Atlas.cyan AB
59135.448 19.229 0.225 Misc/Atlas.cyan AB
59137.42 19.507 0.193 Misc/Atlas.orange AB
59137.429 19.349 0.16 Misc/Atlas.orange AB
59137.433 19.381 0.24 Misc/Atlas.orange AB
59137.444 19.246 0.235 Misc/Atlas.orange AB
59139.409 19.832 0.177 Misc/Atlas.cyan AB
59139.413 19.915 0.211 Misc/Atlas.cyan AB
59139.418 19.85 0.154 Misc/Atlas.cyan AB
59139.432 19.426 0.129 Misc/Atlas.cyan AB
59141.378 19.427 0.144 Misc/Atlas.orange AB
59141.381 19.821 0.218 Misc/Atlas.orange AB
59141.413 19.261 0.11 Misc/Atlas.orange AB
59141.418 19.594 0.147 Misc/Atlas.orange AB
59143.4 20.446 0.937 Misc/Atlas.cyan AB
59143.403 20.408 0.807 Misc/Atlas.cyan AB
59143.408 21.261 3.1 Misc/Atlas.cyan AB
59143.443  -1.391 Misc/Atlas.cyan AB
59145.398 19.57 0.107 Misc/Atlas.orange AB
59145.4 19.665 0.179 Misc/Atlas.orange AB
59145.413 19.598 0.163 Misc/Atlas.orange AB
59145.424 19.66 0.197 Misc/Atlas.orange AB
59147.384 19.4 0.167 Misc/Atlas.orange AB
59147.387 19.75 0.272 Misc/Atlas.orange AB
59147.393 19.742 0.212 Misc/Atlas.orange AB
59147.403 19.904 0.31 Misc/Atlas.orange AB
59148.3 20.91 23.88 Misc/Atlas.orange AB
59148.302  -1.208 Misc/Atlas.orange AB
59148.307 19.862 0.372 Misc/Atlas.orange AB
59148.313 19.191 0.278 Misc/Atlas.orange AB
59155.48  -6.674 Misc/Atlas.orange AB
59155.483  -0.0 Misc/Atlas.orange AB
59155.501 18.677 1.512 Misc/Atlas.orange AB
59157.377 19.404 0.171 Misc/Atlas.orange AB
59157.38 19.454 0.171 Misc/Atlas.orange AB
59157.387 19.367 0.218 Misc/Atlas.orange AB
59157.397 19.369 0.152 Misc/Atlas.orange AB
59159.344 17.12 0.444 Misc/Atlas.orange AB
59159.354  -3.202 Misc/Atlas.orange AB
59159.365  -9.513 Misc/Atlas.orange AB
59160.345  -0.806 Misc/Atlas.cyan AB
59160.351 19.458 0.54 Misc/Atlas.cyan AB
59160.355 18.192 0.413 Misc/Atlas.cyan AB
59160.361 19.959 0.579 Misc/Atlas.cyan AB
59161.374 19.307 0.134 Misc/Atlas.orange AB
59161.379 19.758 0.228 Misc/Atlas.orange AB
59161.385 19.647 0.202 Misc/Atlas.orange AB
59163.42 21.003 0.69 Misc/Atlas.cyan AB
59163.423 20.118 0.303 Misc/Atlas.cyan AB
59163.429 21.605 1.196 Misc/Atlas.cyan AB
59163.442 21.627 1.55 Misc/Atlas.cyan AB
