"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
58.482 5.086 0.025 1.702 0.019 1381234887802585046018057944752696802148352.000 5611649338595029369575108548702087675904.000
59.489 5.051 0.025 1.737 0.020 1399392426103885844412306420667578432094208.000 5893639298431659036826626253571118596096.000
60.495 5.046 0.025 1.730 0.020 1383272186569879197007787535453235976339456.000 5974418348623258486082357764556178063360.000
61.502 5.014 0.025 1.757 0.021 1389233917322522927859225896026068714782720.000 6212636113312794008562279969389740556288.000
62.509 4.987 0.026 1.771 0.021 1381859962359302123027205105981902968324096.000 6398102046446259673291065133011065372672.000
63.516 4.957 0.026 1.788 0.022 1375140978347550329339754975318078912462848.000 6604392578045005156172328459764773158912.000
64.522 4.928 0.026 1.804 0.023 1367924726708475136490874162592710330941440.000 6897925045787694973792223878520621760512.000
65.529 4.922 0.027 1.812 0.023 1372398796937384790074600449248039683489792.000 7097671348159981193231435306635228086272.000
66.536 4.926 0.028 1.803 0.024 1364615554718644194577170071442249492725760.000 7203697872902024346374405719679108644864.000
67.543 4.766 0.026 1.954 0.026 1402674777672004620320188496507441762009088.000 8172800414209969647767052135149932118016.000
68.550 4.772 0.026 1.933 0.026 1380464277621036497775408886826165048705024.000 8196184285296237409738809492703612502016.000
69.556 4.876 0.029 1.785 0.025 1283462403225693528899132752594288274046976.000 7442037707523820916516782037315809705984.000
70.563 4.878 0.030 1.772 0.026 1266596572842077031564965290777621473263616.000 7491292356472414523078914326476636553216.000
71.570 4.884 0.030 1.753 0.026 1246549929721973511094260365245358222082048.000 7492411936770986415997808016085552726016.000
72.577 4.890 0.031 1.736 0.026 1226860833012689971181520462071593422553088.000 7493276997312543932072760997784271716352.000
73.583 4.895 0.032 1.718 0.026 1207495579833870273384709447698002523193344.000 7493054353498597925551456147015808843776.000
74.590 4.899 0.032 1.702 0.027 1188574837069328841383537710275412199735296.000 7500315870746787707833484506193931010048.000
75.597 4.889 0.033 1.696 0.027 1170956382926808321003239751797408366854144.000 7566439095477378983795645811338279649280.000
76.604 4.879 0.033 1.691 0.027 1154369584430326305544770600171882426662912.000 7635740524508766136082413894517850636288.000
77.611 4.867 0.033 1.690 0.028 1141751468052071569034968382274952723693568.000 7732428791092053405808820052146144673792.000
78.617 4.852 0.034 1.690 0.028 1128216988908000582917176190975855875325952.000 7833504058263981004141966738411202019328.000
79.624 4.821 0.033 1.700 0.029 1112555086499584532509298938014298720436224.000 7992891405455956033143855504266297868288.000
80.631 4.797 0.034 1.706 0.029 1098327363244802256145096767118522359742464.000 8124005194857831479788754955523304980480.000
81.638 4.820 0.035 1.671 0.029 1073533253172753001010537562785310748704768.000 8017784931622246535011790715816090009600.000
82.644 4.877 0.038 1.613 0.030 1048520628555033805283992420430312755953664.000 7783991440819833084125116384968467021824.000
83.651 4.884 0.039 1.593 0.031 1029039184843102802625467135547765789032448.000 7762711102781027135740627952241081319424.000
84.658 4.885 0.040 1.581 0.031 1014309668828978010727265117599464027062272.000 7793053441860717565874402561033873915904.000
85.665 4.944 0.047 1.527 0.034 992519154577935237774199917279919820767232.000 7767286472322869944334644187599158116352.000
86.672 4.906 0.047 1.538 0.035 977053209675351422800989740786889865035776.000 7997134733724039669071949023519514296320.000
87.678 4.733 0.044 1.690 0.039 1022196060290364515355571964885554302025728.000 10134665950611196450207727001459838943232.000
88.685 4.707 0.044 1.696 0.040 1006729355556587292536480343952489051062272.000 10335385092174172009696834680393314598912.000
89.692 4.676 0.044 1.707 0.040 992665104710599001824663161126930496880640.000 10575725094526867780231045125946617102336.000
90.699 4.644 0.044 1.719 0.041 979452221686141134063811726704770107310080.000 10835712134810142663873314564520336687104.000
91.705 4.610 0.044 1.733 0.042 892785372875775310216417832539228513239040.000 10196096322710482674957209260676695982080.000
92.712 4.577 0.044 1.747 0.043 819529653749091204641253665889045746548736.000 9595361202664457160341605659624595259392.000
93.719 4.544 0.045 1.761 0.045 757329591724065022908838537388037624561664.000 9029972223303720828980138608309852700672.000
94.726 4.513 0.045 1.774 0.046 703970571780037174651030053952259450994688.000 8481005428507231849023137440825648087040.000
95.733 4.482 0.045 1.787 0.046 657160551893619745489223047343412411891712.000 7945665738950637966696824967722375839744.000
96.739 4.468 0.045 1.779 0.047 613519415101399132379575904036621954056192.000 7341459060468275295632283418046284955648.000
97.746 4.464 0.046 1.758 0.047 571012167556679789120645089507003978481664.000 6729059564070832979352630514263414276096.000
98.753 4.460 0.047 1.736 0.048 534194466024376959799155787845964203556864.000 6176615488833628147990984619199503007744.000
99.760 4.471 0.048 1.699 0.047 501277340443949667849031930907739427962880.000 5597369160782690041598098732277408202752.000
100.766 2.500 0.000 3.836 0.012 467308820241588517423922910205322134028288.000 4784037863208922943194885945280872579072.000
101.773 2.500 0.000 3.760 0.012 438766884716101264151586631244348464824320.000 4236888723535911744186339816703709413376.000
