# SN1987A    bands=BVRI 
# mu=18.49+/-0.00  ABg=0.79+/-0.00 ABi=0.00+/-0.00 
274.07  40.648  0.015 
274.63  40.657  0.015 
275.67  40.653  0.015 
276.76  40.646  0.015 
277.70  40.644  0.015 
279.65  40.640  0.015 
281.05  40.626  0.015 
281.68  40.632  0.015 
282.78  40.627  0.015 
283.73  40.624  0.015 
285.74  40.615  0.015 
286.01  40.603  0.015 
286.70  40.610  0.015 
288.76  40.604  0.015 
291.65  40.593  0.015 
292.70  40.588  0.015 
293.12  40.577  0.015 
293.65  40.586  0.015 
294.67  40.582  0.015 
295.58  40.580  0.015 
295.99  40.568  0.015 
297.64  40.575  0.015 
297.95  40.560  0.015 
298.59  40.572  0.015 
299.08  40.557  0.015 
299.67  40.564  0.015 
299.92  40.553  0.015 
301.06  40.549  0.015 
301.97  40.544  0.015 
302.64  40.551  0.015 
302.74  40.551  0.015 
303.74  40.546  0.015 
304.82  40.544  0.015 
305.75  40.538  0.015 
306.63  40.533  0.015 
307.64  40.529  0.015 
308.61  40.529  0.015 
308.96  40.517  0.015 
309.64  40.525  0.015 
310.68  40.520  0.015 
312.89  40.517  0.015 
313.68  40.510  0.015 
314.70  40.506  0.015 
315.70  40.500  0.015 
316.70  40.498  0.015 
316.92  40.486  0.015 
317.75  40.494  0.015 
318.68  40.490  0.015 
319.80  40.487  0.015 
320.52  40.481  0.015 
321.60  40.482  0.015 
321.93  40.471  0.015 
322.71  40.478  0.015 
323.69  40.470  0.015 
324.71  40.466  0.015 
325.70  40.460  0.015 
326.60  40.457  0.015 
327.63  40.452  0.015 
328.68  40.450  0.015 
328.92  40.440  0.015 
330.91  40.432  0.015 
332.75  40.430  0.015 
333.76  40.431  0.015 
335.77  40.420  0.015 
336.77  40.416  0.015 
337.63  40.413  0.015 
337.90  40.404  0.015 
338.62  40.406  0.015 
339.62  40.403  0.015 
339.93  40.395  0.015 
341.60  40.398  0.015 
342.68  40.393  0.015 
343.63  40.390  0.015 
344.59  40.384  0.015 
344.94  40.376  0.015 
345.61  40.381  0.015 
345.95  40.370  0.015 
346.60  40.374  0.015 
348.75  40.366  0.015 
348.91  40.356  0.015 
351.76  40.353  0.015 
352.75  40.352  0.015 
353.74  40.348  0.015 
354.67  40.343  0.015 
355.72  40.330  0.015 
355.90  40.326  0.015 
359.70  40.323  0.015 
361.93  40.304  0.015 
362.57  40.310  0.015 
363.57  40.306  0.015 
364.57  40.300  0.015 
365.61  40.295  0.015 
367.61  40.289  0.015 
