"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
74.678 4.639 0.038 0.949 0.020 247460301670488172351158242309249511194624.000 2404894669306135698841769350119978696704.000
75.680 2.500 0.000 2.894 0.013 242595391553243284520782368566611516850176.000 2360867428807460643392073420902003376128.000
76.683 2.500 0.000 2.879 0.013 238214352123474855723716699884905625026560.000 2327226222641238287621935576137483681792.000
77.685 2.500 0.000 2.863 0.013 234226131422926768434768164208766173052928.000 2302477998450721299152285565365432352768.000
78.687 2.500 0.000 2.848 0.013 230557609465406993017669619022787654975488.000 2285257136224457119493625661976706285568.000
79.690 2.500 0.000 2.832 0.013 227150080749479431701504457415625220816896.000 2274334347572041091168674355693217644544.000
80.692 2.500 0.000 2.817 0.014 224065294956450854182807668610706534563840.000 2271257302784796900929076287081463939072.000
81.695 2.500 0.000 2.802 0.014 221165048721001627324169741605527288283136.000 2272131448082834391027220115766103769088.000
82.697 2.500 0.000 2.788 0.014 218397689162836192980050224253489041637376.000 2275891187751017958068057190278686048256.000
83.700 2.500 0.000 2.773 0.014 215741426012225998351876998179100347596800.000 2281929773500330098574979859454755864576.000
84.702 2.500 0.000 2.758 0.015 213178557626749895273461628424006861324288.000 2289724629359858789980100790778683457536.000
85.705 2.500 0.000 2.744 0.015 209568576520323444670937998848339161907200.000 2248156505374691053669912403850177806336.000
86.707 2.500 0.000 2.729 0.015 207361073477253197124058476675686129991680.000 2266943860658794439533904620636489121792.000
87.710 2.500 0.000 2.715 0.015 205172347286192570761568748516634678788096.000 2284846103116683810952742019946290085888.000
88.712 2.500 0.000 2.701 0.015 203001993483418839547951131098363123990528.000 2301839733906090601203903251669982380032.000
89.714 2.500 0.000 2.686 0.016 200849658433501645463861480321678019919872.000 2317904830456976403406287242501487067136.000
90.717 2.500 0.000 2.672 0.016 198715031785530911367213920251577341313024.000 2333022980420129184213389071234518482944.000
91.719 2.500 0.000 2.658 0.016 196597843074191530930062198945968040181760.000 2347179807782992813178570366946576957440.000
92.722 2.500 0.000 2.643 0.016 194497859154107414191348629104130021916672.000 2360362473214007982073846631528430305280.000
93.724 2.500 0.000 2.629 0.016 192414878696840596432671340253865438085120.000 2372560614169466377742396391715470573568.000
94.727 2.500 0.000 2.615 0.016 190348731028967487289616194654559044370432.000 2383765850894114360652063775051233624064.000
95.729 2.500 0.000 2.601 0.017 188299270303431082308914916248734511661056.000 2393972807361070661360868913939667222528.000
96.732 2.500 0.000 2.587 0.017 186266374846830345936264726466246414958592.000 2403177830367528793299774458859414880256.000
97.734 2.500 0.000 2.573 0.017 184249942409726298993523930130216042627072.000 2411379658893846346594165032713352904704.000
98.737 2.500 0.000 2.559 0.017 182249888184678893430897788542593047461888.000 2418577963014456149534229445682929860608.000
99.739 2.500 0.000 2.545 0.017 180266143184911217402194278565001042067456.000 2424774838062097748030658079116243238912.000
100.742 2.500 0.000 2.531 0.017 178298650794110024085796738177675510677504.000 2429973935937967093225464332891275132928.000
101.744 2.500 0.000 2.517 0.017 176347364877423044378775662207357442588672.000 2434181167078260109117424295750783729664.000
102.746 2.500 0.000 2.503 0.017 174412248909567062624104082974701955055616.000 2437401785273325661509668161101406142464.000
103.749 2.500 0.000 2.489 0.018 172493273712618339158743722354698988027904.000 2439645494367539679157048643170900901888.000
104.751 2.500 0.000 2.476 0.018 170590415831112960101116165552685478576128.000 2440920482191066720973722027817783263232.000
105.754 2.500 0.000 2.462 0.018 168703656332244945311016760369244631203840.000 2441237532915438525006145801971377897472.000
106.756 2.500 0.000 2.448 0.018 166832979513318178748464533780664730779648.000 2440608169505943568641044413423393177600.000
107.759 2.500 0.000 2.435 0.018 164978372869299265017134049239294875271168.000 2439045631294744992910689745085495508992.000
108.761 2.500 0.000 2.421 0.018 163139824312712274113855344431960692883456.000 2436562598711366075098500972646231965696.000
109.764 2.500 0.000 2.407 0.018 161317323304196418685646058670448967680000.000 2433173797353865932113209844338750652416.000
110.766 2.500 0.000 2.394 0.018 159510858925076431278739511838123967381504.000 2428893697104138081733326338061829668864.000
111.769 2.500 0.000 2.380 0.018 157720419382980841902139076549159904346112.000 2423739260903604945769609937815500488704.000
112.771 2.500 0.000 2.367 0.018 155945992555079410313536729053605113364480.000 2417725294385703943418927779164740124672.000
113.773 2.500 0.000 2.354 0.018 154187563955055825234753994682293821636608.000 2410870752835015375268695020844164841472.000
114.776 2.500 0.000 2.340 0.018 152445117668082112918916243230144010911744.000 2403190979394250031568262226048282787840.000
115.778 2.500 0.000 2.327 0.018 150718635486811752615083185430469216829440.000 2394705444672893416330032314250933829632.000
116.781 2.500 0.000 2.314 0.019 149008096558390068774120620408553070395392.000 2385432263898148451203261978799113240576.000
