"Time (MJD)" "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Bol. Lum" "Bol. Err"
91.604 2.500 0.000 5.778 0.040 967503466785182996206109167582077660430336.000 13792928079135855102376278501891403415552.000
92.612 2.500 0.000 5.323 0.076 848206789970848372752093018298241198850048.000 23743832526746354041960232730084771889152.000
93.620 2.500 0.000 5.226 0.075 808461214662509945568546884827141768216576.000 23048876382828079976330564873492778450944.000
94.628 2.500 0.000 5.135 0.075 773385795700222349536078981571474505072640.000 22459167100922901029779178820710864781312.000
95.635 2.500 0.000 5.068 0.076 747064074680249120490291915769823656673280.000 22101975691218855324695207539020702679040.000
96.643 2.500 0.000 5.001 0.076 722573300793406245283301604589402845085696.000 21775475025515880535916772340855033823232.000
97.651 2.500 0.000 4.936 0.076 699638693371666936693865085156208263823360.000 21474323687630002988505688715210080124928.000
98.658 2.500 0.000 4.871 0.077 678050558573210132428729714165639626620928.000 21194118046661207499027782174570442653696.000
99.666 2.500 0.000 4.807 0.077 657636296119446010717206657480631200514048.000 20931197616581470903512880904186871414784.000
100.674 2.500 0.000 4.744 0.077 626450705445940852087666687174997247524864.000 20405480207257873600095486070564585472000.000
101.681 2.500 0.000 4.682 0.078 610118058020059441354637677192535078862848.000 20217506436550008770874104123675709014016.000
102.689 2.500 0.000 4.620 0.078 594211230805758673469746778296069933498368.000 20030462412202577042002116642310480461824.000
103.697 2.500 0.000 4.560 0.078 578719121937684242520881566900929972666368.000 19844175800328119389487170932225953759232.000
104.705 2.500 0.000 4.500 0.078 563630918995210984686912814232569322143744.000 19658500325626784968044909229826803499008.000
105.712 2.500 0.000 4.441 0.079 548936091456110421612527227563571140362240.000 19473305994921915388859318687175966457856.000
106.720 2.500 0.000 4.383 0.079 534624383346991503650054867578950642565120.000 19288482100419294634297270140239496609792.000
107.728 2.500 0.000 4.325 0.079 520685806085321549245993982289090617278464.000 19103934643850546926281172228856612913152.000
108.735 2.500 0.000 4.268 0.080 507110631508098135349556239244462666022912.000 18919584116838333713666468312404686012416.000
109.743 2.500 0.000 4.212 0.080 493889385082265131383767385323769943818240.000 18735368390086501182853128486761827139584.000
110.751 2.500 0.000 4.157 0.080 481012839292132804368699613022922653827072.000 18551233864968571422054430870536531738624.000
111.759 2.500 0.000 4.103 0.080 468472007199225872470364769722414502248448.000 18367143009546915743474438839363308617728.000
112.766 2.500 0.000 4.049 0.081 456258136170006518253281691954555496955904.000 18183065516791546312517152977124658774016.000
113.774 2.500 0.000 3.996 0.081 444362701767149784504542938095682072870912.000 17998982297450362231156090518275664904192.000
114.782 2.500 0.000 3.943 0.081 432777401800078176573139220689994381262848.000 17814881042149295151938881702249652813824.000
115.789 2.500 0.000 3.891 0.081 421494150530596998518824580052833041121280.000 17630761587928599700805972388835407953920.000
116.797 2.500 0.000 3.840 0.082 410505073029618182031945926346180109795328.000 17446626997391390064741862049396975206400.000
117.805 2.500 0.000 3.790 0.082 399802499680999749053160343479164258484224.000 17262486410484356562639727793742142242816.000
118.813 2.500 0.000 3.740 0.082 389378960828684725808185604127392058572800.000 17078358751669011518060958469120940048384.000
119.820 2.500 0.000 3.691 0.082 379227181563396364435047182601146333134848.000 16894263324679895706848315946063590588416.000
120.828 2.500 0.000 3.643 0.082 369340076645256937158538817145760093569024.000 16710225879004045897002178507993222479872.000
121.836 2.500 0.000 3.595 0.083 359710745558780851548012981089763091021824.000 16526275108082691017777132099966697734144.000
122.843 2.500 0.000 3.548 0.083 350332467696789085232672060572771419160576.000 16342443790219002750246391642905198460928.000
123.851 2.500 0.000 3.501 0.083 341198697669891476564814826692819212566528.000 16158767174147943594321719491004886679552.000
124.859 2.500 0.000 3.455 0.083 332303060738258380465122010755730063228928.000 15975281248519588555968713951474173870080.000
125.866 2.500 0.000 3.410 0.083 323639348362491866139378606671315427393536.000 15792028486497298614887443289320191950848.000
126.874 2.500 0.000 3.365 0.083 315201513870496267952000031606716709732352.000 15609047146541796544899910872870401605632.000
127.882 2.500 0.000 3.321 0.083 306983668237316993270171891293800519172096.000 15426382921876908450845563870390576480256.000
128.890 2.500 0.000 3.277 0.084 298980075975009065795975906231198890852352.000 15244077678175325954181765967231531876352.000
129.897 2.500 0.000 3.234 0.084 291185151129665820689812259635644713664512.000 15062175456155244278110891772204625690624.000
130.905 2.500 0.000 3.192 0.084 283593453382805248664307404540898699116544.000 14880721409368063426718695980319195004928.000
131.913 2.500 0.000 3.150 0.084 276199684254406652868416431051197097443328.000 14699758440820340175359143142335560286208.000
132.920 2.500 0.000 3.109 0.084 268998683404936743818528524184591674638336.000 14519335103862376149154916229513329246208.000
133.928 2.500 0.000 3.068 0.084 261985425033790527894245515011326906204160.000 14339492681137226296250639762765956251648.000
134.936 2.500 0.000 3.028 0.084 255155014371628323017654963581704938192896.000 14160279118594614453455613529054186045440.000
135.944 2.500 0.000 2.988 0.084 248502684264167877186758142082005195554816.000 13981736863963192806867400353082792476672.000
136.951 2.500 0.000 2.949 0.084 242023791845038342282104456802009905889280.000 13803909415733431227570158371605300903936.000
137.959 2.500 0.000 2.910 0.084 235713815295381193958794875468207766896640.000 13626839594744537584825282736383787532288.000
