"Time (MJD)" PAN-STARRS/PS1.g PAN-STARRS/PS1.g_err PAN-STARRS/PS1.i PAN-STARRS/PS1.i_err PAN-STARRS/PS1.r PAN-STARRS/PS1.r_err PAN-STARRS/PS1.z PAN-STARRS/PS1.z_err "Temp./1e3 (K)" "Temp. Err." "Radius/1e15 (cm)" "Radius Err." "Log10(Bol. Lum)" "Log10(Bol. Err)"
-19.000 -18.136 -0.073 -18.116 -0.070 -18.198 -0.082 -18.151 -0.137 8.158 0.465 1.423 0.127 42.806 41.428
-18.900 -18.158 -0.072 -18.139 -0.069 -18.221 -0.081 -18.172 -0.136 8.180 0.457 1.432 0.124 42.816 41.327
-18.800 -18.181 -0.071 -18.161 -0.068 -18.243 -0.080 -18.193 -0.135 8.203 0.460 1.441 0.125 42.826 41.511
-18.700 -18.203 -0.070 -18.184 -0.067 -18.266 -0.079 -18.214 -0.133 8.204 0.450 1.454 0.123 42.834 41.565
-18.600 -18.225 -0.069 -18.206 -0.066 -18.288 -0.077 -18.234 -0.132 8.197 0.437 1.473 0.123 42.844 41.240
-18.500 -18.246 -0.067 -18.228 -0.065 -18.309 -0.076 -18.254 -0.130 8.188 0.443 1.490 0.125 42.852 41.603
-18.400 -18.268 -0.066 -18.250 -0.064 -18.331 -0.075 -18.274 -0.129 8.193 0.426 1.503 0.122 42.860 41.448
-18.300 -18.289 -0.065 -18.272 -0.063 -18.352 -0.074 -18.294 -0.128 8.222 0.443 1.509 0.125 42.870 41.631
-18.200 -18.310 -0.064 -18.294 -0.063 -18.374 -0.073 -18.314 -0.126 8.214 0.420 1.527 0.122 42.879 41.455
-18.100 -18.331 -0.063 -18.315 -0.062 -18.395 -0.072 -18.333 -0.125 8.210 0.404 1.543 0.119 42.887 41.352
-18.000 -18.352 -0.062 -18.336 -0.061 -18.415 -0.071 -18.353 -0.124 8.212 0.398 1.558 0.118 42.895 41.431
-17.900 -18.372 -0.061 -18.357 -0.060 -18.436 -0.070 -18.372 -0.122 8.202 0.399 1.575 0.120 42.903 41.523
-17.800 -18.392 -0.060 -18.378 -0.059 -18.456 -0.069 -18.390 -0.121 8.220 0.388 1.583 0.116 42.912 41.555
-17.700 -18.412 -0.059 -18.399 -0.058 -18.476 -0.068 -18.409 -0.120 8.237 0.383 1.593 0.114 42.921 41.463
-17.600 -18.432 -0.058 -18.419 -0.057 -18.496 -0.067 -18.427 -0.118 8.230 0.384 1.610 0.117 42.928 41.440
-17.500 -18.451 -0.057 -18.439 -0.056 -18.516 -0.066 -18.445 -0.117 8.229 0.375 1.626 0.116 42.936 41.473
-17.400 -18.470 -0.056 -18.459 -0.056 -18.535 -0.065 -18.463 -0.116 8.242 0.376 1.636 0.116 42.945 41.482
-17.300 -18.489 -0.056 -18.478 -0.055 -18.555 -0.064 -18.480 -0.115 8.263 0.370 1.644 0.116 42.953 41.535
-17.200 -18.508 -0.055 -18.498 -0.054 -18.574 -0.064 -18.498 -0.113 8.245 0.358 1.664 0.113 42.960 41.419
-17.100 -18.527 -0.054 -18.517 -0.053 -18.592 -0.063 -18.515 -0.112 8.252 0.354 1.677 0.112 42.968 41.519
-17.000 -18.545 -0.053 -18.536 -0.053 -18.611 -0.062 -18.532 -0.111 8.241 0.348 1.695 0.111 42.975 41.252
-16.900 -18.563 -0.052 -18.554 -0.052 -18.629 -0.061 -18.548 -0.110 8.257 0.351 1.704 0.114 42.983 41.502
-16.800 -18.581 -0.051 -18.573 -0.051 -18.647 -0.060 -18.564 -0.108 8.247 0.339 1.721 0.110 42.990 41.339
-16.700 -18.598 -0.051 -18.591 -0.050 -18.665 -0.059 -18.580 -0.107 8.250 0.332 1.733 0.109 42.996 41.579
-16.600 -18.615 -0.050 -18.609 -0.050 -18.682 -0.059 -18.596 -0.106 8.252 0.331 1.747 0.109 43.004 41.499
-16.500 -18.632 -0.049 -18.626 -0.049 -18.699 -0.058 -18.612 -0.105 8.265 0.323 1.757 0.107 43.011 41.521
-16.400 -18.649 -0.048 -18.643 -0.049 -18.716 -0.057 -18.627 -0.104 8.256 0.314 1.773 0.106 43.017 41.426
-16.300 -18.665 -0.048 -18.661 -0.048 -18.733 -0.057 -18.642 -0.103 8.261 0.315 1.785 0.106 43.024 41.526
-16.200 -18.682 -0.047 -18.677 -0.047 -18.749 -0.056 -18.656 -0.101 8.256 0.308 1.801 0.105 43.031 41.484
-16.100 -18.697 -0.046 -18.694 -0.047 -18.766 -0.055 -18.671 -0.100 8.250 0.319 1.816 0.110 43.037 41.629
-16.000 -18.713 -0.046 -18.710 -0.046 -18.782 -0.054 -18.685 -0.099 8.271 0.311 1.823 0.107 43.045 41.655
-15.900 -18.728 -0.045 -18.726 -0.046 -18.797 -0.054 -18.698 -0.098 8.271 0.304 1.837 0.106 43.051 41.567
-15.800 -18.743 -0.044 -18.742 -0.045 -18.812 -0.053 -18.712 -0.097 8.260 0.295 1.852 0.103 43.056 41.586
-15.700 -18.758 -0.044 -18.757 -0.044 -18.828 -0.053 -18.725 -0.096 8.278 0.302 1.860 0.106 43.064 41.610
-15.600 -18.772 -0.043 -18.772 -0.044 -18.842 -0.052 -18.738 -0.095 8.265 0.288 1.876 0.103 43.068 41.526
-15.500 -18.786 -0.043 -18.787 -0.043 -18.857 -0.051 -18.750 -0.094 8.260 0.284 1.890 0.102 43.074 41.380
-15.400 -18.800 -0.042 -18.801 -0.043 -18.871 -0.051 -18.763 -0.093 8.271 0.285 1.899 0.102 43.080 41.622
-15.300 -18.813 -0.041 -18.815 -0.042 -18.885 -0.050 -18.775 -0.092 8.287 0.310 1.905 0.110 43.086 nan
-15.200 -18.826 -0.041 -18.829 -0.042 -18.898 -0.050 -18.786 -0.091 8.269 0.282 1.923 0.102 43.091 41.708
-15.100 -18.839 -0.040 -18.843 -0.042 -18.912 -0.049 -18.798 -0.090 8.278 0.271 1.931 0.099 43.096 41.444
-15.000 -18.852 -0.040 -18.856 -0.041 -18.925 -0.049 -18.809 -0.089 8.279 0.267 1.941 0.098 43.101 41.479
-14.900 -18.864 -0.040 -18.869 -0.041 -18.937 -0.048 -18.819 -0.088 8.268 0.268 1.958 0.100 43.106 41.557
-14.800 -18.875 -0.039 -18.881 -0.040 -18.950 -0.048 -18.830 -0.087 8.265 0.264 1.970 0.099 43.111 41.498
-14.700 -18.887 -0.039 -18.893 -0.040 -18.962 -0.047 -18.840 -0.086 8.270 0.262 1.980 0.098 43.116 41.526
-14.600 -18.898 -0.038 -18.905 -0.039 -18.974 -0.047 -18.849 -0.086 8.275 0.255 1.988 0.096 43.121 41.474
-14.500 -18.909 -0.038 -18.917 -0.039 -18.985 -0.047 -18.859 -0.085 8.283 0.288 1.994 0.108 43.125 nan
-14.400 -18.919 -0.037 -18.929 -0.039 -18.997 -0.046 -18.868 -0.084 8.257 0.248 2.014 0.095 43.128 41.477
-14.300 -18.929 -0.037 -18.940 -0.038 -19.008 -0.046 -18.877 -0.083 8.255 0.237 2.024 0.091 43.132 nan
-14.200 -18.939 -0.037 -18.951 -0.038 -19.018 -0.045 -18.885 -0.082 8.270 0.263 2.029 0.101 43.137 nan
-14.100 -18.949 -0.036 -18.961 -0.038 -19.029 -0.045 -18.894 -0.082 8.261 0.244 2.042 0.095 43.141 41.520
-14.000 -18.958 -0.036 -18.971 -0.037 -19.039 -0.045 -18.902 -0.081 8.248 0.242 2.055 0.094 43.144 41.627
-13.900 -18.967 -0.036 -18.982 -0.037 -19.049 -0.044 -18.910 -0.080 8.250 0.236 2.064 0.094 43.148 41.490
-13.800 -18.976 -0.035 -18.991 -0.037 -19.059 -0.044 -18.917 -0.080 8.247 0.233 2.075 0.094 43.152 41.522
-13.700 -18.984 -0.035 -19.001 -0.036 -19.069 -0.044 -18.924 -0.079 8.257 0.236 2.080 0.093 43.156 41.458
-13.600 -18.993 -0.034 -19.010 -0.036 -19.078 -0.043 -18.932 -0.078 8.248 0.228 2.091 0.091 43.159 41.495
-13.500 -19.000 -0.034 -19.020 -0.036 -19.087 -0.043 -18.938 -0.078 8.259 0.229 2.095 0.092 43.163 41.533
-13.400 -19.008 -0.034 -19.028 -0.035 -19.096 -0.043 -18.945 -0.077 8.236 0.226 2.112 0.092 43.165 41.433
-13.300 -19.016 -0.034 -19.037 -0.035 -19.105 -0.042 -18.951 -0.077 8.240 0.225 2.118 0.092 43.169 41.472
-13.200 -19.023 -0.033 -19.046 -0.035 -19.113 -0.042 -18.958 -0.076 8.223 0.220 2.134 0.091 43.171 41.636
-13.100 -19.030 -0.033 -19.054 -0.034 -19.122 -0.042 -18.964 -0.076 8.233 0.216 2.136 0.088 43.174 41.164
-13.000 -19.036 -0.033 -19.062 -0.034 -19.130 -0.042 -18.969 -0.075 8.218 0.217 2.150 0.089 43.177 41.549
-12.900 -19.043 -0.032 -19.070 -0.034 -19.138 -0.041 -18.975 -0.075 8.220 0.219 2.157 0.091 43.180 41.567
-12.800 -19.049 -0.032 -19.078 -0.034 -19.146 -0.041 -18.980 -0.074 8.210 0.212 2.168 0.088 43.182 41.493
-12.700 -19.055 -0.032 -19.085 -0.033 -19.154 -0.041 -18.986 -0.074 8.212 0.213 2.172 0.089 43.184 41.546
-12.600 -19.061 -0.032 -19.093 -0.033 -19.161 -0.041 -18.991 -0.073 8.202 0.212 2.185 0.090 43.187 41.458
-12.500 -19.066 -0.031 -19.100 -0.033 -19.169 -0.040 -18.995 -0.073 8.189 0.211 2.196 0.090 43.189 41.534
-12.400 -19.072 -0.031 -19.107 -0.033 -19.176 -0.040 -19.000 -0.072 8.190 0.206 2.202 0.089 43.191 41.205
-12.300 -19.077 -0.031 -19.114 -0.032 -19.183 -0.040 -19.005 -0.072 8.170 0.206 2.216 0.089 43.193 41.484
-12.200 -19.082 -0.031 -19.121 -0.032 -19.190 -0.040 -19.009 -0.072 8.175 0.204 2.221 0.088 43.196 41.486
-12.100 -19.087 -0.031 -19.127 -0.032 -19.197 -0.039 -19.013 -0.071 8.161 0.201 2.233 0.088 43.197 41.413
-12.000 -19.091 -0.030 -19.134 -0.032 -19.204 -0.039 -19.018 -0.071 8.160 0.202 2.240 0.088 43.200 41.430
-11.900 -19.096 -0.030 -19.140 -0.032 -19.210 -0.039 -19.022 -0.071 8.148 0.199 2.250 0.088 43.202 41.496
-11.800 -19.100 -0.030 -19.147 -0.031 -19.217 -0.039 -19.026 -0.070 8.150 0.219 2.255 0.097 43.204 nan
-11.700 -19.104 -0.030 -19.153 -0.031 -19.224 -0.039 -19.030 -0.070 8.140 0.192 2.265 0.086 43.206 41.458
-11.600 -19.108 -0.029 -19.159 -0.031 -19.230 -0.038 -19.033 -0.070 8.113 0.191 2.282 0.086 43.206 41.533
-11.500 -19.112 -0.029 -19.165 -0.031 -19.236 -0.038 -19.037 -0.070 8.110 0.189 2.290 0.085 43.208 41.490
-11.400 -19.116 -0.029 -19.171 -0.031 -19.243 -0.038 -19.041 -0.069 8.098 0.189 2.301 0.086 43.210 41.473
-11.300 -19.120 -0.029 -19.177 -0.030 -19.249 -0.038 -19.045 -0.069 8.080 0.185 2.314 0.085 43.211 41.363
-11.200 -19.124 -0.029 -19.182 -0.030 -19.255 -0.038 -19.048 -0.069 8.084 0.191 2.318 0.088 43.214 41.594
-11.100 -19.128 -0.028 -19.188 -0.030 -19.262 -0.038 -19.052 -0.069 8.073 0.183 2.328 0.085 43.215 41.501
-11.000 -19.131 -0.028 -19.194 -0.030 -19.268 -0.037 -19.055 -0.069 8.072 0.199 2.334 0.093 43.217 nan
-10.900 -19.135 -0.028 -19.199 -0.030 -19.274 -0.037 -19.059 -0.068 8.049 0.181 2.349 0.086 43.218 nan
-10.800 -19.138 -0.028 -19.205 -0.030 -19.280 -0.037 -19.062 -0.068 8.038 0.177 2.360 0.085 43.219 41.548
-10.700 -19.142 -0.027 -19.210 -0.029 -19.286 -0.037 -19.066 -0.068 8.027 0.170 2.370 0.082 43.220 41.264
-10.600 -19.145 -0.027 -19.216 -0.029 -19.293 -0.037 -19.070 -0.068 8.020 0.174 2.378 0.085 43.222 41.062
-10.500 -19.149 -0.027 -19.221 -0.029 -19.299 -0.037 -19.073 -0.068 8.013 0.173 2.388 0.084 43.224 41.486
-10.400 -19.152 -0.027 -19.227 -0.029 -19.305 -0.037 -19.077 -0.068 8.002 0.167 2.397 0.082 43.225 41.215
-10.300 -19.156 -0.026 -19.232 -0.029 -19.311 -0.036 -19.080 -0.067 7.985 0.165 2.411 0.081 43.226 40.355
-10.200 -19.160 -0.026 -19.238 -0.029 -19.317 -0.036 -19.084 -0.067 7.976 0.164 2.420 0.083 43.228 nan
-10.100 -19.163 -0.026 -19.243 -0.029 -19.324 -0.036 -19.088 -0.067 7.965 0.168 2.432 0.084 43.229 41.507
-10.000 -19.167 -0.026 -19.249 -0.029 -19.330 -0.036 -19.092 -0.067 7.948 0.164 2.445 0.083 43.231 41.362
-9.900 -19.170 -0.025 -19.254 -0.029 -19.336 -0.036 -19.095 -0.067 7.936 0.161 2.457 0.083 43.232 41.201
-9.800 -19.174 -0.025 -19.260 -0.029 -19.342 -0.036 -19.099 -0.067 7.925 0.164 2.468 0.085 43.234 41.481
-9.700 -19.177 -0.025 -19.265 -0.029 -19.349 -0.036 -19.103 -0.067 7.920 0.158 2.475 0.082 43.235 nan
-9.600 -19.180 -0.025 -19.270 -0.028 -19.355 -0.036 -19.107 -0.067 7.905 0.156 2.488 0.083 43.236 41.386
-9.500 -19.184 -0.024 -19.276 -0.028 -19.361 -0.036 -19.111 -0.067 7.898 0.156 2.498 0.083 43.238 41.275
-9.400 -19.187 -0.024 -19.281 -0.028 -19.367 -0.036 -19.115 -0.067 7.891 0.156 2.507 0.083 43.240 41.522
-9.300 -19.191 -0.024 -19.286 -0.028 -19.373 -0.036 -19.119 -0.067 7.883 0.175 2.516 0.094 43.241 nan
-9.200 -19.194 -0.024 -19.291 -0.028 -19.379 -0.036 -19.122 -0.067 7.854 0.149 2.536 0.081 43.242 41.102
-9.100 -19.197 -0.024 -19.296 -0.028 -19.385 -0.036 -19.126 -0.067 7.850 0.154 2.544 0.084 43.243 41.413
-9.000 -19.200 -0.023 -19.301 -0.029 -19.390 -0.036 -19.130 -0.067 7.832 0.150 2.560 0.084 43.245 41.295
-8.900 -19.204 -0.023 -19.306 -0.029 -19.396 -0.036 -19.134 -0.067 7.829 0.152 2.566 0.085 43.246 41.280
-8.800 -19.207 -0.023 -19.311 -0.029 -19.402 -0.036 -19.138 -0.067 7.818 0.147 2.577 0.083 43.247 41.381
-8.700 -19.210 -0.023 -19.316 -0.029 -19.407 -0.036 -19.141 -0.067 7.807 0.147 2.587 0.083 43.249 41.395
-8.600 -19.213 -0.022 -19.320 -0.029 -19.413 -0.036 -19.145 -0.067 7.807 0.146 2.592 0.083 43.250 41.048
-8.500 -19.216 -0.022 -19.325 -0.029 -19.418 -0.036 -19.149 -0.067 7.786 0.144 2.609 0.084 43.251 41.234
-8.400 -19.218 -0.022 -19.329 -0.029 -19.423 -0.036 -19.153 -0.067 7.789 0.143 2.612 0.082 43.253 41.387
-8.300 -19.221 -0.022 -19.334 -0.029 -19.428 -0.036 -19.156 -0.067 7.770 0.141 2.626 0.083 43.253 41.315
-8.200 -19.224 -0.022 -19.338 -0.029 -19.433 -0.036 -19.160 -0.067 7.755 0.142 2.640 0.084 43.254 41.319
-8.100 -19.226 -0.022 -19.342 -0.029 -19.438 -0.036 -19.163 -0.067 7.748 0.144 2.648 0.086 43.255 41.499
-8.000 -19.228 -0.021 -19.346 -0.029 -19.443 -0.036 -19.167 -0.068 7.743 0.142 2.655 0.085 43.257 41.517
-7.900 -19.231 -0.021 -19.350 -0.029 -19.448 -0.036 -19.170 -0.068 7.728 0.137 2.668 0.083 43.257 41.311
-7.800 -19.233 -0.021 -19.354 -0.029 -19.452 -0.037 -19.174 -0.068 7.725 0.156 2.673 0.094 43.258 nan
-7.700 -19.235 -0.021 -19.358 -0.030 -19.456 -0.037 -19.177 -0.068 7.706 0.138 2.688 0.085 43.259 41.197
-7.600 -19.237 -0.021 -19.361 -0.030 -19.461 -0.037 -19.180 -0.068 7.694 0.137 2.699 0.084 43.260 41.204
-7.500 -19.238 -0.021 -19.365 -0.030 -19.465 -0.037 -19.183 -0.068 7.689 0.137 2.705 0.086 43.261 41.489
-7.400 -19.240 -0.021 -19.368 -0.030 -19.469 -0.037 -19.186 -0.069 7.672 0.138 2.719 0.087 43.261 41.308
-7.300 -19.241 -0.021 -19.371 -0.030 -19.473 -0.037 -19.189 -0.069 7.655 0.134 2.733 0.086 43.262 41.024
-7.200 -19.243 -0.021 -19.374 -0.030 -19.477 -0.037 -19.192 -0.069 7.648 0.135 2.740 0.086 43.263 nan
-7.100 -19.244 -0.021 -19.377 -0.030 -19.480 -0.037 -19.195 -0.069 7.637 0.135 2.750 0.086 43.263 41.320
-7.000 -19.245 -0.021 -19.380 -0.031 -19.484 -0.037 -19.198 -0.069 7.618 0.136 2.764 0.088 43.263 nan
-6.900 -19.246 -0.021 -19.382 -0.031 -19.487 -0.037 -19.201 -0.070 7.611 0.143 2.771 0.092 43.264 nan
-6.800 -19.247 -0.021 -19.385 -0.031 -19.490 -0.037 -19.203 -0.070 7.590 0.136 2.787 0.089 43.264 41.229
-6.700 -19.247 -0.022 -19.387 -0.031 -19.494 -0.037 -19.206 -0.070 7.583 0.137 2.794 0.091 43.265 40.914
-6.600 -19.248 -0.022 -19.390 -0.031 -19.497 -0.037 -19.208 -0.070 7.563 0.139 2.809 0.092 43.265 41.262
-6.500 -19.248 -0.022 -19.392 -0.032 -19.499 -0.037 -19.211 -0.070 7.560 0.147 2.812 0.097 43.265 nan
-6.400 -19.248 -0.023 -19.394 -0.032 -19.502 -0.037 -19.213 -0.071 7.548 0.139 2.823 0.092 43.265 41.213
-6.300 -19.248 -0.023 -19.395 -0.032 -19.505 -0.037 -19.215 -0.071 7.520 0.138 2.842 0.093 43.265 nan
-6.200 -19.248 -0.023 -19.397 -0.032 -19.507 -0.037 -19.217 -0.071 7.523 0.153 2.840 0.103 43.265 nan
-6.100 -19.248 -0.024 -19.399 -0.032 -19.510 -0.037 -19.219 -0.071 7.497 0.140 2.860 0.094 43.265 41.300
-6.000 -19.247 -0.024 -19.400 -0.033 -19.512 -0.037 -19.221 -0.072 7.481 0.141 2.872 0.096 43.265 41.436
-5.900 -19.247 -0.024 -19.401 -0.033 -19.514 -0.037 -19.223 -0.072 7.469 0.141 2.881 0.096 43.265 41.391
-5.800 -19.246 -0.025 -19.402 -0.033 -19.516 -0.037 -19.224 -0.072 7.444 0.139 2.899 0.097 43.265 nan
-5.700 -19.245 -0.025 -19.403 -0.033 -19.517 -0.037 -19.226 -0.072 7.436 0.140 2.905 0.098 43.264 40.983
-5.600 -19.244 -0.026 -19.404 -0.033 -19.519 -0.037 -19.227 -0.073 7.417 0.144 2.919 0.101 43.264 41.405
-5.500 -19.243 -0.026 -19.405 -0.034 -19.520 -0.037 -19.229 -0.073 7.407 0.141 2.926 0.098 43.264 40.241
-5.400 -19.241 -0.027 -19.405 -0.034 -19.522 -0.037 -19.230 -0.073 7.387 0.144 2.941 0.101 43.264 41.297
-5.300 -19.240 -0.027 -19.406 -0.034 -19.523 -0.037 -19.231 -0.073 7.366 0.140 2.954 0.099 43.262 40.338
-5.200 -19.238 -0.027 -19.406 -0.034 -19.524 -0.037 -19.232 -0.074 7.346 0.144 2.969 0.103 43.262 41.219
-5.100 -19.236 -0.028 -19.406 -0.034 -19.525 -0.036 -19.233 -0.074 7.338 0.144 2.973 0.103 43.262 41.326
-5.000 -19.234 -0.028 -19.406 -0.034 -19.526 -0.036 -19.234 -0.074 7.313 0.144 2.992 0.104 43.261 nan
-4.900 -19.232 -0.029 -19.406 -0.035 -19.527 -0.036 -19.234 -0.074 7.307 0.145 2.996 0.106 43.261 41.548
-4.800 -19.230 -0.029 -19.406 -0.035 -19.527 -0.036 -19.235 -0.075 7.286 0.145 3.010 0.107 43.260 41.397
-4.700 -19.228 -0.030 -19.405 -0.035 -19.528 -0.036 -19.236 -0.075 7.262 0.142 3.025 0.105 43.259 41.442
-4.600 -19.225 -0.030 -19.405 -0.035 -19.528 -0.036 -19.236 -0.075 7.246 0.140 3.036 0.104 43.258 nan
-4.500 -19.223 -0.031 -19.404 -0.035 -19.528 -0.035 -19.236 -0.075 7.234 0.142 3.045 0.106 43.257 41.251
-4.400 -19.220 -0.031 -19.404 -0.035 -19.529 -0.035 -19.237 -0.076 7.223 0.145 3.051 0.109 43.257 41.406
-4.300 -19.217 -0.031 -19.403 -0.035 -19.529 -0.035 -19.237 -0.076 7.197 0.143 3.069 0.107 43.256 41.248
-4.200 -19.214 -0.032 -19.402 -0.035 -19.529 -0.035 -19.237 -0.076 7.184 0.144 3.078 0.109 43.255 nan
-4.100 -19.211 -0.032 -19.401 -0.036 -19.529 -0.035 -19.237 -0.076 7.174 0.161 3.084 0.122 43.254 nan
-4.000 -19.208 -0.033 -19.400 -0.036 -19.529 -0.034 -19.237 -0.077 7.136 0.143 3.111 0.110 43.253 41.317
-3.900 -19.205 -0.033 -19.399 -0.036 -19.529 -0.034 -19.237 -0.077 7.123 0.145 3.120 0.113 43.252 40.826
-3.800 -19.202 -0.033 -19.398 -0.036 -19.528 -0.034 -19.237 -0.077 7.119 0.160 3.122 0.123 43.251 nan
-3.700 -19.198 -0.034 -19.397 -0.036 -19.528 -0.034 -19.237 -0.077 7.099 0.141 3.134 0.111 43.250 nan
-3.600 -19.195 -0.034 -19.395 -0.036 -19.528 -0.034 -19.237 -0.077 7.074 0.146 3.151 0.114 43.249 41.064
-3.500 -19.191 -0.035 -19.394 -0.036 -19.527 -0.033 -19.237 -0.078 7.067 0.164 3.154 0.129 43.248 nan
-3.400 -19.188 -0.035 -19.392 -0.036 -19.527 -0.033 -19.237 -0.078 7.030 0.146 3.183 0.117 43.246 nan
-3.300 -19.184 -0.035 -19.391 -0.036 -19.526 -0.033 -19.236 -0.078 7.016 0.146 3.193 0.118 43.246 41.292
-3.200 -19.180 -0.036 -19.389 -0.036 -19.526 -0.033 -19.236 -0.078 6.998 0.145 3.205 0.118 43.244 41.244
-3.100 -19.177 -0.036 -19.388 -0.036 -19.525 -0.032 -19.236 -0.078 6.984 0.141 3.214 0.114 43.243 40.969
-3.000 -19.173 -0.036 -19.386 -0.036 -19.525 -0.032 -19.235 -0.079 6.969 0.145 3.223 0.118 43.242 41.504
-2.900 -19.169 -0.037 -19.385 -0.036 -19.524 -0.032 -19.235 -0.079 6.956 0.142 3.232 0.116 43.241 41.179
-2.800 -19.165 -0.037 -19.383 -0.036 -19.523 -0.032 -19.234 -0.079 6.929 0.144 3.250 0.119 43.239 41.474
-2.700 -19.161 -0.038 -19.381 -0.036 -19.523 -0.032 -19.234 -0.079 6.915 0.143 3.260 0.120 43.239 41.369
-2.600 -19.157 -0.038 -19.379 -0.036 -19.522 -0.031 -19.233 -0.079 6.891 0.139 3.277 0.117 43.237 nan
-2.500 -19.153 -0.038 -19.377 -0.036 -19.521 -0.031 -19.233 -0.080 6.877 0.142 3.287 0.120 43.236 41.433
-2.400 -19.148 -0.039 -19.376 -0.036 -19.520 -0.031 -19.232 -0.080 6.866 0.146 3.294 0.122 43.235 41.462
-2.300 -19.144 -0.039 -19.374 -0.036 -19.519 -0.031 -19.231 -0.080 6.846 0.143 3.308 0.123 43.234 41.417
-2.200 -19.140 -0.039 -19.372 -0.037 -19.518 -0.031 -19.231 -0.080 6.829 0.143 3.319 0.124 43.232 41.309
-2.100 -19.136 -0.040 -19.370 -0.037 -19.517 -0.031 -19.230 -0.080 6.831 0.160 3.315 0.137 43.232 nan
-2.000 -19.131 -0.040 -19.368 -0.037 -19.516 -0.031 -19.229 -0.080 6.804 0.143 3.335 0.124 43.230 41.255
-1.900 -19.127 -0.041 -19.365 -0.037 -19.515 -0.031 -19.228 -0.081 6.784 0.144 3.351 0.126 43.229 41.342
-1.800 -19.122 -0.041 -19.363 -0.037 -19.514 -0.030 -19.227 -0.081 6.768 0.141 3.360 0.124 43.227 41.493
-1.700 -19.117 -0.041 -19.361 -0.037 -19.513 -0.030 -19.226 -0.081 6.755 0.142 3.368 0.126 43.226 41.394
-1.600 -19.113 -0.042 -19.359 -0.037 -19.512 -0.030 -19.226 -0.081 6.735 0.141 3.383 0.127 43.225 nan
-1.500 -19.108 -0.042 -19.357 -0.037 -19.510 -0.030 -19.225 -0.081 6.725 0.143 3.388 0.128 43.224 nan
-1.400 -19.103 -0.043 -19.354 -0.037 -19.509 -0.030 -19.223 -0.081 6.707 0.141 3.399 0.127 43.222 40.791
-1.300 -19.099 -0.043 -19.352 -0.037 -19.508 -0.030 -19.222 -0.081 6.701 0.160 3.403 0.143 43.221 nan
-1.200 -19.094 -0.044 -19.350 -0.038 -19.506 -0.030 -19.221 -0.082 6.679 0.141 3.418 0.128 43.219 41.344
-1.100 -19.089 -0.044 -19.347 -0.038 -19.505 -0.030 -19.220 -0.082 6.659 0.140 3.431 0.129 43.218 nan
-1.000 -19.084 -0.045 -19.345 -0.038 -19.503 -0.030 -19.219 -0.082 6.649 0.144 3.439 0.132 43.217 41.384
-0.900 -19.079 -0.045 -19.343 -0.038 -19.501 -0.030 -19.218 -0.082 6.635 0.145 3.445 0.134 43.215 41.464
-0.800 -19.074 -0.046 -19.340 -0.039 -19.500 -0.030 -19.216 -0.082 6.629 0.144 3.447 0.133 43.213 nan
-0.700 -19.069 -0.046 -19.338 -0.039 -19.498 -0.030 -19.215 -0.082 6.605 0.143 3.467 0.133 43.212 41.469
-0.600 -19.064 -0.047 -19.335 -0.039 -19.496 -0.030 -19.213 -0.082 6.595 0.146 3.472 0.138 43.211 41.411
-0.500 -19.058 -0.047 -19.332 -0.039 -19.495 -0.030 -19.212 -0.083 6.592 0.143 3.469 0.135 43.209 nan
-0.400 -19.053 -0.048 -19.330 -0.040 -19.493 -0.031 -19.211 -0.083 6.581 0.150 3.475 0.139 43.208 41.334
-0.300 -19.048 -0.049 -19.327 -0.040 -19.491 -0.031 -19.209 -0.083 6.564 0.146 3.487 0.139 43.206 41.138
-0.200 -19.042 -0.049 -19.325 -0.041 -19.489 -0.031 -19.207 -0.083 6.557 0.146 3.489 0.140 43.205 nan
-0.100 -19.037 -0.050 -19.322 -0.041 -19.487 -0.031 -19.206 -0.083 6.552 0.148 3.488 0.140 43.203 nan
0.000 -19.032 -0.051 -19.319 -0.041 -19.485 -0.031 -19.204 -0.083 6.535 0.147 3.499 0.140 43.202 nan
0.100 -19.026 -0.051 -19.316 -0.042 -19.483 -0.032 -19.202 -0.084 6.523 0.150 3.505 0.144 43.200 40.196
0.200 -19.020 -0.052 -19.313 -0.042 -19.480 -0.032 -19.201 -0.084 6.522 0.154 3.501 0.148 43.199 41.514
0.300 -19.015 -0.053 -19.311 -0.043 -19.478 -0.032 -19.199 -0.084 6.506 0.153 3.511 0.147 43.197 40.958
0.400 -19.009 -0.053 -19.308 -0.043 -19.476 -0.033 -19.197 -0.084 6.507 0.154 3.505 0.150 43.196 41.189
0.500 -19.003 -0.054 -19.305 -0.044 -19.474 -0.033 -19.195 -0.084 6.502 0.155 3.503 0.148 43.194 41.300
0.600 -18.998 -0.055 -19.302 -0.044 -19.471 -0.033 -19.193 -0.084 6.492 0.159 3.508 0.154 43.193 41.465
0.700 -18.992 -0.055 -19.299 -0.044 -19.469 -0.034 -19.191 -0.085 6.485 0.161 3.508 0.155 43.191 40.975
0.800 -18.986 -0.056 -19.296 -0.045 -19.466 -0.034 -19.189 -0.085 6.478 0.159 3.512 0.155 43.190 41.322
0.900 -18.980 -0.057 -19.292 -0.045 -19.463 -0.035 -19.187 -0.085 6.470 0.161 3.512 0.157 43.188 41.539
