# ph	T_bb	err	R_bb	err	L_bb	err

59133.41	9.07e+03	1.17e+03	1.03e+15	1.76e+14	5.14e+42	3.18e+42
59133.41	9.07e+03	1.17e+03	1.16e+15	1.97e+14	6.46e+42	4.00e+42
59133.43	9.07e+03	1.17e+03	9.16e+14	1.56e+14	4.05e+42	2.51e+42
59134.27	9.07e+03	1.17e+03	8.28e+14	1.41e+14	3.31e+42	2.05e+42
59134.30	9.07e+03	1.17e+03	1.01e+15	1.72e+14	4.93e+42	3.05e+42
59135.43	9.07e+03	1.17e+03	8.85e+14	1.51e+14	3.78e+42	2.34e+42
59135.43	9.07e+03	1.17e+03	8.26e+14	1.41e+14	3.30e+42	2.04e+42
59135.43	9.07e+03	1.17e+03	6.71e+14	1.14e+14	2.18e+42	1.35e+42
59135.45	9.07e+03	1.17e+03	1.09e+15	1.86e+14	5.73e+42	3.55e+42
59136.30	9.07e+03	1.17e+03	1.01e+15	1.73e+14	4.97e+42	3.08e+42
59136.34	9.07e+03	1.17e+03	7.57e+14	1.29e+14	2.77e+42	1.71e+42
59137.42	9.07e+03	1.17e+03	9.58e+14	1.63e+14	4.43e+42	2.74e+42
59137.43	9.07e+03	1.17e+03	1.03e+15	1.76e+14	5.13e+42	3.17e+42
59137.43	9.07e+03	1.17e+03	1.02e+15	1.73e+14	4.98e+42	3.08e+42
59137.44	9.07e+03	1.17e+03	1.08e+15	1.84e+14	5.64e+42	3.49e+42
59137.45	9.07e+03	1.17e+03	9.59e+14	1.63e+14	4.44e+42	2.75e+42
59137.46	9.07e+03	1.17e+03	7.69e+14	1.31e+14	2.85e+42	1.77e+42
59138.23	9.07e+03	1.17e+03	7.33e+14	1.25e+14	2.60e+42	1.61e+42
59138.31	9.07e+03	1.17e+03	9.80e+14	1.67e+14	4.64e+42	2.87e+42
59139.41	9.07e+03	1.17e+03	8.25e+14	1.41e+14	3.29e+42	2.03e+42
59139.41	9.07e+03	1.17e+03	7.94e+14	1.35e+14	3.04e+42	1.88e+42
59139.42	9.07e+03	1.17e+03	8.18e+14	1.39e+14	3.23e+42	2.00e+42
59139.43	9.07e+03	1.17e+03	9.94e+14	1.70e+14	4.78e+42	2.96e+42
59140.25	9.07e+03	1.17e+03	9.86e+14	1.68e+14	4.70e+42	2.91e+42
59140.28	9.07e+03	1.17e+03	7.53e+14	1.28e+14	2.74e+42	1.70e+42
59141.38	9.07e+03	1.17e+03	9.94e+14	1.69e+14	4.77e+42	2.95e+42
59141.38	9.07e+03	1.17e+03	8.29e+14	1.41e+14	3.32e+42	2.06e+42
59141.41	9.07e+03	1.17e+03	1.07e+15	1.83e+14	5.56e+42	3.44e+42
59141.42	9.07e+03	1.17e+03	9.20e+14	1.57e+14	4.09e+42	2.53e+42
59142.27	9.07e+03	1.17e+03	7.23e+14	1.23e+14	2.53e+42	1.56e+42
59142.27	9.07e+03	1.17e+03	8.77e+14	1.50e+14	3.72e+42	2.30e+42
59143.26	9.07e+03	1.17e+03	9.24e+14	1.58e+14	4.13e+42	2.55e+42
59143.27	9.07e+03	1.17e+03	5.57e+14	9.49e+13	1.50e+42	9.26e+41
59143.29	9.07e+03	1.17e+03	8.66e+14	1.48e+14	3.63e+42	2.25e+42
59143.31	9.07e+03	1.17e+03	8.40e+14	1.43e+14	3.41e+42	2.11e+42
59143.40	9.07e+03	1.17e+03	6.22e+14	1.06e+14	1.87e+42	1.16e+42
59143.40	9.07e+03	1.17e+03	6.33e+14	1.08e+14	1.93e+42	1.20e+42
59143.41	9.07e+03	1.17e+03	4.27e+14	7.28e+13	8.81e+41	5.46e+41
59144.21	9.07e+03	1.17e+03	9.28e+14	1.58e+14	4.16e+42	2.57e+42
59144.33	9.07e+03	1.17e+03	6.82e+14	1.16e+14	2.24e+42	1.39e+42
59145.29	9.07e+03	1.17e+03	7.15e+14	1.22e+14	2.47e+42	1.53e+42
59145.29	9.07e+03	1.17e+03	9.78e+14	1.67e+14	4.62e+42	2.86e+42
59145.40	9.07e+03	1.17e+03	9.31e+14	1.59e+14	4.18e+42	2.59e+42
59145.40	9.07e+03	1.17e+03	8.91e+14	1.52e+14	3.83e+42	2.37e+42
59145.41	9.07e+03	1.17e+03	9.19e+14	1.57e+14	4.08e+42	2.52e+42
59145.42	9.07e+03	1.17e+03	8.93e+14	1.52e+14	3.85e+42	2.38e+42
59147.38	9.07e+03	1.17e+03	1.01e+15	1.72e+14	4.89e+42	3.03e+42
59147.39	9.07e+03	1.17e+03	8.57e+14	1.46e+14	3.54e+42	2.19e+42
59147.39	9.07e+03	1.17e+03	8.60e+14	1.47e+14	3.57e+42	2.21e+42
59147.40	9.07e+03	1.17e+03	7.98e+14	1.36e+14	3.08e+42	1.90e+42
59147.42	9.07e+03	1.17e+03	6.33e+14	1.08e+14	1.94e+42	1.20e+42
59147.42	9.07e+03	1.17e+03	8.96e+14	1.53e+14	3.88e+42	2.40e+42
59148.30	9.07e+03	1.17e+03	5.02e+14	8.56e+13	1.22e+42	7.54e+41
59148.31	9.07e+03	1.17e+03	8.13e+14	1.39e+14	3.20e+42	1.98e+42
59148.31	9.07e+03	1.17e+03	1.11e+15	1.89e+14	5.93e+42	3.67e+42
59154.41	9.07e+03	1.17e+03	8.89e+14	1.52e+14	3.82e+42	2.36e+42
59154.41	9.07e+03	1.17e+03	9.65e+14	1.65e+14	4.50e+42	2.79e+42
59155.26	9.07e+03	1.17e+03	9.54e+14	1.63e+14	4.40e+42	2.72e+42
59155.50	9.07e+03	1.17e+03	1.40e+15	2.39e+14	9.52e+42	5.89e+42
59157.33	9.07e+03	1.17e+03	8.97e+14	1.53e+14	3.89e+42	2.41e+42
59157.38	9.07e+03	1.17e+03	1.00e+15	1.71e+14	4.87e+42	3.02e+42
59157.38	9.07e+03	1.17e+03	9.82e+14	1.67e+14	4.66e+42	2.88e+42
59157.39	9.07e+03	1.17e+03	1.02e+15	1.74e+14	5.04e+42	3.12e+42
59157.40	9.07e+03	1.17e+03	1.02e+15	1.74e+14	5.03e+42	3.12e+42
59158.39	9.07e+03	1.17e+03	1.01e+15	1.73e+14	4.95e+42	3.06e+42
59159.34	9.07e+03	1.17e+03	2.88e+15	4.90e+14	4.00e+43	2.47e+43
59160.35	9.07e+03	1.17e+03	9.80e+14	1.67e+14	4.64e+42	2.87e+42
59160.36	9.07e+03	1.17e+03	1.76e+15	2.99e+14	1.49e+43	9.21e+42
59160.36	9.07e+03	1.17e+03	7.78e+14	1.33e+14	2.92e+42	1.81e+42
59161.37	9.07e+03	1.17e+03	1.05e+15	1.79e+14	5.33e+42	3.30e+42
59161.38	9.07e+03	1.17e+03	8.53e+14	1.46e+14	3.52e+42	2.18e+42
59161.39	9.07e+03	1.17e+03	8.98e+14	1.53e+14	3.90e+42	2.41e+42
59163.35	9.07e+03	1.17e+03	9.35e+14	1.59e+14	4.23e+42	2.62e+42
59163.36	9.07e+03	1.17e+03	4.65e+14	7.93e+13	1.05e+42	6.47e+41
59163.42	9.07e+03	1.17e+03	4.81e+14	8.20e+13	1.12e+42	6.92e+41
59163.42	9.07e+03	1.17e+03	7.23e+14	1.23e+14	2.53e+42	1.56e+42
59163.43	9.07e+03	1.17e+03	3.65e+14	6.22e+13	6.42e+41	3.97e+41
59163.44	9.07e+03	1.17e+03	3.61e+14	6.15e+13	6.29e+41	3.89e+41
59167.23	9.07e+03	1.17e+03	7.96e+14	1.36e+14	3.06e+42	1.89e+42
59169.19	9.07e+03	1.17e+03	7.72e+14	1.32e+14	2.88e+42	1.78e+42
59169.22	9.07e+03	1.17e+03	5.08e+14	8.66e+13	1.25e+42	7.72e+41
59169.22	9.07e+03	1.17e+03	8.99e+14	1.53e+14	3.90e+42	2.42e+42
59169.33	9.07e+03	1.17e+03	1.01e+15	1.72e+14	4.94e+42	3.06e+42
59169.35	9.07e+03	1.17e+03	6.38e+14	1.09e+14	1.96e+42	1.22e+42
59169.35	9.07e+03	1.17e+03	8.81e+14	1.50e+14	3.75e+42	2.32e+42
59169.36	9.07e+03	1.17e+03	8.87e+14	1.51e+14	3.81e+42	2.36e+42
59173.22	9.07e+03	1.17e+03	7.88e+14	1.34e+14	3.00e+42	1.86e+42
