# ph	Lobs	err	L+BB	err	

59144.33	8.57e+41	8.52e+41	2.24e+42	1.15e+42
59145.29	9.44e+41	9.39e+41	2.46e+42	1.27e+42
59145.29	1.76e+42	1.75e+42	4.60e+42	2.37e+42
59145.40	1.60e+42	1.59e+42	4.17e+42	2.14e+42
59145.40	1.46e+42	1.46e+42	3.82e+42	1.97e+42
59145.41	1.56e+42	1.55e+42	4.06e+42	2.09e+42
59145.42	1.47e+42	1.46e+42	3.83e+42	1.97e+42
59147.38	1.87e+42	1.86e+42	4.87e+42	2.51e+42
59147.39	1.35e+42	1.35e+42	3.53e+42	1.82e+42
59147.39	1.36e+42	1.36e+42	3.56e+42	1.83e+42
59147.40	1.17e+42	1.17e+42	3.06e+42	1.58e+42
59147.42	7.40e+41	7.35e+41	1.93e+42	9.93e+41
59147.42	1.48e+42	1.47e+42	3.86e+42	1.99e+42
59148.30	4.65e+41	4.62e+41	1.21e+42	6.24e+41
59148.31	1.22e+42	1.21e+42	3.18e+42	1.64e+42
59148.31	2.26e+42	2.25e+42	5.91e+42	3.04e+42
59154.41	1.46e+42	1.45e+42	3.80e+42	1.96e+42
59154.41	1.72e+42	1.71e+42	4.48e+42	2.31e+42
59155.26	1.68e+42	1.67e+42	4.38e+42	2.25e+42
59155.50	3.64e+42	3.62e+42	9.48e+42	4.88e+42
59157.33	1.49e+42	1.48e+42	3.87e+42	1.99e+42
59157.38	1.86e+42	1.85e+42	4.85e+42	2.50e+42
59157.38	1.78e+42	1.77e+42	4.64e+42	2.39e+42
59157.39	1.93e+42	1.92e+42	5.02e+42	2.59e+42
59157.40	1.92e+42	1.91e+42	5.01e+42	2.58e+42
59158.39	1.89e+42	1.88e+42	4.93e+42	2.54e+42
59159.34	1.53e+43	1.52e+43	3.98e+43	2.05e+43
59160.35	1.77e+42	1.76e+42	4.62e+42	2.38e+42
59160.36	5.68e+42	5.65e+42	1.48e+43	7.63e+42
59160.36	1.12e+42	1.11e+42	2.91e+42	1.50e+42
59161.37	2.03e+42	2.02e+42	5.31e+42	2.73e+42
59161.38	1.34e+42	1.34e+42	3.50e+42	1.80e+42
59161.39	1.49e+42	1.48e+42	3.88e+42	2.00e+42
59163.35	1.61e+42	1.60e+42	4.21e+42	2.17e+42
59163.36	3.99e+41	3.97e+41	1.04e+42	5.36e+41
59163.42	4.27e+41	4.24e+41	1.11e+42	5.73e+41
59163.42	9.64e+41	9.59e+41	2.52e+42	1.29e+42
59163.43	2.45e+41	2.44e+41	6.39e+41	3.29e+41
59163.44	2.40e+41	2.39e+41	6.27e+41	3.23e+41
59167.23	1.17e+42	1.16e+42	3.05e+42	1.57e+42
59169.19	1.10e+42	1.09e+42	2.87e+42	1.48e+42
59169.22	4.76e+41	4.74e+41	1.24e+42	6.39e+41
59169.22	1.49e+42	1.48e+42	3.89e+42	2.00e+42
59169.33	1.89e+42	1.88e+42	4.92e+42	2.53e+42
59169.35	7.50e+41	7.46e+41	1.96e+42	1.01e+42
59169.35	1.43e+42	1.42e+42	3.73e+42	1.92e+42
59169.36	1.45e+42	1.44e+42	3.79e+42	1.95e+42
59173.22	1.15e+42	1.14e+42	2.99e+42	1.54e+42
59173.38	3.46e+41	3.44e+41	9.02e+41	4.65e+41
59173.38	1.04e+42	1.04e+42	2.72e+42	1.40e+42
59182.36	8.43e+41	8.38e+41	2.20e+42	1.13e+42
59182.36	1.08e+42	1.07e+42	2.81e+42	1.45e+42
59185.37	9.92e+41	9.87e+41	2.59e+42	1.33e+42
59185.38	1.48e+42	1.47e+42	3.86e+42	1.99e+42
59185.38	2.25e+41	2.24e+41	5.88e+41	3.03e+41
59185.39	6.32e+40	6.29e+40	1.65e+41	8.49e+40
59186.35	8.12e+41	8.08e+41	2.12e+42	1.09e+42
59186.35	9.47e+41	9.41e+41	2.47e+42	1.27e+42
59187.36	1.04e+42	1.03e+42	2.71e+42	1.40e+42
59187.37	1.87e+42	1.86e+42	4.89e+42	2.52e+42
59187.37	1.30e+42	1.29e+42	3.38e+42	1.74e+42
59187.38	1.12e+42	1.11e+42	2.92e+42	1.50e+42
59189.29	7.04e+41	7.00e+41	1.84e+42	9.46e+41
59189.29	1.43e+42	1.42e+42	3.72e+42	1.92e+42
59189.31	8.07e+41	8.03e+41	2.11e+42	1.08e+42
59190.29	1.52e+41	1.51e+41	3.95e+41	2.04e+41
59190.29	8.35e+41	8.31e+41	2.18e+42	1.12e+42
