##phase	g	err	w	err	r	err	i	err	z	err	y	err	
#
59129.33	19.71	1.20	19.71	1.20	19.71	1.20	19.71	1.20	19.71	1.20	19.71	1.20
59129.46	19.09	1.20	19.09	1.20	19.09	1.20	19.09	1.20	19.09	1.20	19.09	1.20
59129.47	19.05	1.20	19.05	1.20	19.05	1.20	19.05	1.20	19.05	1.20	19.05	1.20
59129.47	19.11	1.20	19.11	1.20	19.11	1.20	19.11	1.20	19.11	1.20	19.11	1.20
59129.49	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20	19.13	1.20
59130.48	19.45	1.20	19.45	1.20	19.45	1.20	19.45	1.20	19.45	1.20	19.45	1.20
59130.48	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20
59131.24	19.30	1.20	19.30	1.20	19.30	1.20	19.30	1.20	19.30	1.20	19.30	1.20
59131.32	19.55	1.20	19.55	1.20	19.55	1.20	19.55	1.20	19.55	1.20	19.55	1.20
59131.46	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20	19.18	1.20
59131.46	19.36	1.20	19.36	1.20	19.36	1.20	19.36	1.20	19.36	1.20	19.36	1.20
59131.49	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20	19.57	1.20
59131.50	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20	19.23	1.20
59132.45	19.81	1.20	19.81	1.20	19.81	1.20	19.81	1.20	19.81	1.20	19.81	1.20
59133.40	19.00	1.20	19.00	1.20	19.00	1.20	19.00	1.20	19.00	1.20	19.00	1.20
59133.41	19.35	1.20	19.35	1.20	19.35	1.20	19.35	1.20	19.35	1.20	19.35	1.20
59133.41	19.10	1.20	19.10	1.20	19.10	1.20	19.10	1.20	19.10	1.20	19.10	1.20
59133.43	19.60	1.20	19.60	1.20	19.60	1.20	19.60	1.20	19.60	1.20	19.60	1.20
59134.27	19.82	1.20	19.82	1.20	19.82	1.20	19.82	1.20	19.82	1.20	19.82	1.20
59134.30	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20	19.39	1.20
59135.43	19.68	1.20	19.68	1.20	19.68	1.20	19.68	1.20	19.68	1.20	19.68	1.20
